Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
2014,7,7/1/14,5:00 AM,7/2/14,2:00 AM,"21 Hours,",0 Minutes,American Electric Power,RFC,"Indiana, Michigan",Thunderstorms,Unknown,57237,
2014,7,7/2/14,8:39 AM,7/28/14,3:13 PM,"630 Hours, 34 Minutes",,We Energies,MRO,Wisconsin,Fuel Supply Emergency - Coal,Unknown,Unknown,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/3/14,6:00 PM,7/6/14 12:00,,"66 Hours,",0 Minutes,Exelon Corporation/PECO,RFC,Pennsylvania,Thunderstorms,Unknown,298165,
,,,,,,,,,,"Vermont, New Hampshire,",,,,
,,,,,,,,,,"Maine, Rhode Island,",Severe Weather -,,,
2014,7,7/3/14 22:55,,7/4/14,1:50 AM,"2 Hours, 55 Minutes",,ISO New England,NPCC,"Massachusetts, Connecticut",Thunderstorms,Unknown,64000,
,,,,,,,,,,Central and Northeastern,Severe Weather -,,,
2014,7,7/8/14,5:30 PM,7/10/14,3:00 PM,"45 Hours, 30 Minutes",,PPL Electric Utilities Corp,RFC,Pennsylvania,Thunderstorms,Unknown,66000,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/8/14,5:30 PM,7/12/14 23:20,,"101 Hours, 50 Minutes",,FirstEnergy Corp: Potomac Edison,RFC,"Maryland, West Virginia",Thunderstorms,Unknown,96000,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/8/14,5:30 PM,7/12/14 23:30,,"102 Hours,",0 Minutes,FirstEnergy Corp: Mon Power,RFC,West Virginia,Thunderstorms,Unknown,71000,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/8/14,6:00 PM,7/11/14,5:53 PM,"71 Hours, 53 Minutes",,FirstEnergy Corp: Met-Ed,RFC,Eastern Pennsylvania,Thunderstorms,Unknown,69000,
,,,,,,,,Niagara Mohawk Power Corporation (dba National,,,Severe Weather -,,,
2014,7,7/8/14,7:21 PM,7/11/14,7:00 AM,"59 Hours, 39 Minutes",,Grid),NPCC,Upstate New York,Thunderstorms,Unknown,65000,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/8/14,8:30 PM,7/11/14 23:00,,"74 Hours, 30 Minutes",,Exelon Corporation/PECO,RFC,Pennsylvania,Thunderstorms,Unknown,260000,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/8/14,9:31 PM,,ongoing,,ongoing,Baltimore Gas & Electric Company,RFC,Maryland,Thunderstorms,Unknown,56600,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/23/14,7:14 PM,7/24/14 0:23,,"5 Hours,",9 Minutes,American Electric Power,SERC,"Arkansas, Louisiana",Thunderstorms,Unknown,57299,
,,,,,,,,,,,Load shedding of 100,,,
2014,7,7/24/14,4:29 PM,7/24/14 23:32,,"7 Hours,",3 Minutes,Southern California Edison,WECC,California,Megawatts,126,26856,
,,,,,,,,,,,Severe Weather -,,,
2014,7,7/27/14,5:00 PM,7/28/14 23:00,,"30 Hours,",0 Minutes,Detroit Edison Co,RFC,Southeast Michigan,Thunderstorms,Unknown,156611,
,,,,,,,,,,,Uncontrolled Loss of 300,,,
2014,7,7/27/14 23:00,,7/28/14,4:00 AM,"5 Hours,",0 Minutes,California Department of Water Resources,WECC,Central California,Megawatts,480,1,
,,,,,,,,,,,Electrical System Separation,,,
2014,8,8/13/14,6:08 AM,8/13/14,6:34 AM,"0 Hours, 26 Minutes",,Peak Reliability,WECC,"Alberta, Canada",(Islanding),370,Unknown,
,,,,,,,,,,,Electrical System Separation,,,
2014,8,8/20/14,1:21 AM,8/20/14,1:41 AM,"0 Hours, 20 Minutes",,Peak Reliability,WECC,"Alberta, Canada",(Islanding),Unknown,Unknown,
,,,,,,,,,,,Operational Failure of Electrical,,,
2014,8,8/23/14,4:39 PM,8/24/14,1:46 AM,"9 Hours,",7 Minutes,Illinois Municipal Electric Agency,RFC,"City of Highland, Illinois",System,31,6549,
,,,,,,,,,,"North of San Francisco,",,,,
2014,8,8/24/14,3:20 AM,8/25/14,7:05 AM,"27 Hours, 45 Minutes",,PG&E,WECC,California,Earthquake,95,70000,
,,,,,,,,,,,Severe Weather -,,,
2014,8,8/26/14,3:30 PM,,ongoing,,ongoing,Detroit Edison Co,RFC,Southeast Michigan,Thunderstorms,Unknown,Unknown,
,,,,,,,,,,,Severe Weather -,,,
2014,9,9/5/14,4:30 PM,9/6/14,2:00 PM,"21 Hours, 30 Minutes",,Exelon Corporation / ComEd,RFC,Illinois,Thunderstorms,Unknown,180400,
,,,,,,,,,,,Severe Weather -,,,
2014,9,9/5/14,7:14 PM,9/6/14,1:00 PM,"17 Hours, 46 Minutes",,Consumers Energy,RFC,Lower Peninsula of Michigan,Thunderstorms,50,60000,
,,,,,,,,,,,Severe Weather -,,,
2014,9,9/5/14,8:00 PM,,ongoing,,ongoing,Detroit Edison Co,RFC,Michigan,Thunderstorms,Unknown,324000,
,,,,,,,,,,,Electrical System Separation,,,
2014,9,9/9/14,8:18 AM,9/9/14 23:59,,"15 Hours, 41 Minutes",,Peak Reliability,WECC,"Alberta, Canada",(Islanding),Unknown,Unknown,
,,,,,,,,,,,Electrical System Separation,,,
2014,9,9/11/14,4:56 AM,9/11/14,5:37 AM,"0 Hours, 41 Minutes",,Peak Reliability,WECC,"Alberta, Canada",(Islanding),Unknown,Unknown,
,,,,,,,,,,,Electrical System Separation,,,
2014,9,9/14/14,9:50 PM,9/17/14,3:08 PM,"65 Hours, 18 Minutes",,Portland General Electric,WECC,Oregon,(Islanding),1,123,
,,,,,,,,,,,Electrical System Separation,,,
2014,9,9/19/14,2:20 PM,9/23/14,1:10 PM,"94 Hours, 50 Minutes",,Portland General Electric,WECC,"Estacada, Oregon",(Islanding),1,123,
2014,9,9/22/14 11:00,,9/22/14 11:01,,"0 Hours,",1 Minutes,Minnesota Power Inc,MRO,Northeast Minnesota,Fuel Supply Emergency - Coal,1000,140000,
,,,,,,,,,,,Severe Weather -,,,
2014,10,10/2/14,4:00 PM,10/7/14 10:00,,"114 Hours,",0 Minutes,Oncor Electric Delivery Company LLC,TRE,Texas,Thunderstorms,Unknown,500000,
,,,,,,,,,,,Severe Weather -,,,
2014,10,10/2/14 22:15,,,ongoing,,ongoing,"Entergy Services, Inc.",SERC,Arkansas,Thunderstorms,Unknown,67300,
,,,,,,,,,,,Severe Weather -,,,
2014,10,10/6/14 10:52,,10/7/14 0:52,,"14 Hours,",0 Minutes,CenterPoint Energy,TRE,"Houston, Texas",Thunderstorms,292,129237,
,,,,,,,,,,,Public Appeal to Reduce,,,
,,,,,,,,,,,Electricity Usage; Load Shed of,,,
2014,10,10/8/14,4:47 PM,10/8/14,6:29 PM,"1 Hours, 42 Minutes",,ERCOT,TRE,Rio Grande Valley Texas,100 MW,Unknown,Unknown,
,,,,,,,,,,,Public Appeal to Reduce,,,
,,,,,,,,,,,Electricity Usage; Load Shed of,,,
2014,10,10/8/14,4:49 PM,10/8/14,6:23 PM,"1 Hours, 34 Minutes",,American Electric Power - Texas,TRE,Rio Grande Valley Texas,100 MW,585,120000,
,,,,,,,,,,,Public Appeal to Reduce,,,
2014,10,10/9/14,9:27 AM,,ongoing,,ongoing,American Electric Power,TRE,Rio Grande Valley Texas,Electricity Usage,Unknown,2800,
,,,,,,,,,,,Severe Weather -,,,
2014,10,10/13/14 12:45,,10/13/14,4:15 PM,"3 Hours, 30 Minutes",,"Entergy Services, Inc.",SERC,Louisiana,Thunderstorms,Unknown,68600,
,,,,,,,,,,,Severe Weather -,,,
2014,10,10/14/14,5:44 AM,10/14/14,5:50 PM,"12 Hours,",6 Minutes,Southern Company,SERC,"Alabama, Florida, Georgia",Thunderstorms,191,57475,
2014,10,10/14/14,6:20 PM,10/14/14,6:28 PM,"0 Hours,",8 Minutes,Puerto Rico Electric Power Authority,N/A,Puerto Rico,Voltage Reduction,Unknown,Unknown,
,,,,,,,,,,"New Hampshire, Maine,",,,,
,,,,,,,,,,"Massachusetts, Rhode Island,",,,,
2014,10,10/22/14 22:46,,10/22/14 22:47,,"0 Hours,",1 Minutes,ISO New England,NPCC,"Connecticut, Vermont",Severe Weather,Unknown,66650,
,,,,,,,,,,"Greater Portland and Salem,",,,,
2014,10,10/25/14,4:00 PM,10/25/14 22:00,,"6 Hours,",0 Minutes,Portland General Electric Co,WECC,Oregon,Severe Weather - Wind,216,78000,
