"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM","EQD"
"99849799999","2018-11-26T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","320,1,N,0134,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /3226 11027 92100 555 11027 22029=",
"99849799999","2018-11-26T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /2808 11027 92200 555 11008 22009=",
"99849799999","2018-11-26T23:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0051,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /3110 11027 92300 555 11010 22011=",
"99849799999","2018-11-27T00:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /3112 11027 90000 555 11012 22013=",
"99849799999","2018-11-27T01:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0027,1","+9999,9","99999,9","SYN046FSTI2 46/// /2709 11027 90100 555 11009 22010=",
"99849799999","2018-11-27T02:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","310,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0031,1","+9999,9","99999,9","SYN046FSTI2 46/// /3112 11031 90200 555 11013 22014=",
"99849799999","2018-11-27T03:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0035,1","+9999,9","99999,9","SYN046FSTI2 46/// /3012 11035 90300 555 11012 22013=",
"99849799999","2018-11-27T04:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0082,1","99999,9,9,N","999999,9,9,9","-0039,1","+9999,9","99999,9","SYN046FSTI2 46/// /3016 11039 90400 555 11016 22018=",
"99849799999","2018-11-27T05:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0021,1","99999,9,9,N","999999,9,9,9","-0042,1","+9999,9","99999,9","SYN046FSTI2 46/// /2704 11042 90500 555 11004 22004=",
"99849799999","2018-11-27T06:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0047,1","+9999,9","99999,9","SYN046FSTI2 46/// /2712 11047 90600 555 11012 22013=",
