Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,RESIDENTIAL,Unnamed: 10,Unnamed: 11,COMMERCIAL,Unnamed: 13,Unnamed: 14,INDUSTRIAL,Unnamed: 16,Unnamed: 17,TRANSPORTATION,Unnamed: 19,Unnamed: 20,TOTAL,Unnamed: 22,Unnamed: 23
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA_CODE,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2015,10448,Kosciusko County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,21625.2,188633,16643,.,.,.,24085.9,264350,1311,.,.,.,45711.1,452983,17954
2015,10451,Kotzebue Electric Assn Inc,A,Bundled,O,AK,Cooperative,,3020,7325,1137,4886,12564,131,.,.,.,.,.,.,7906,19889,1268
2015,10454,Kootenai Electric Cooperative,A,Bundled,O,ID,Cooperative,AVA,26352.4,283071,21481,9480.4,106304,1668,1762.7,31844,46,0,0,0,37595.5,421219,23195
2015,10454,Kootenai Electric Cooperative,A,Bundled,O,WA,Cooperative,AVA,177.9,2084,74,17.2,218,2,0.2,1,1,0,0,0,195.3,2303,77
2015,10508,Village of L'Anse - (MI),A,Bundled,O,MI,Municipal,MISO,735,5027,998,869,6582,207,0,0,0,0,0,0,1604,11609,1205
2015,10539,"La Plata Electric Assn, Inc",A,Bundled,O,CO,Cooperative,WACM,40722,278969,35302,30877,263364,6327,30979,390583,195,.,.,.,102578,932916,41824
2015,10550,McCook Public Power District,A,Bundled,O,NE,Political Subdivision,SWPP,4839.6,37445,3734,2829.2,28284,331,8620.5,101832,910,.,.,.,16289.3,167561,4975
2015,10558,"LaCreek Electric Assn, Inc",A,Bundled,O,NE,Cooperative,WACM,242,2263,168,91,1086,25,277,2432,46,.,.,.,610,5781,239
2015,10558,"LaCreek Electric Assn, Inc",A,Bundled,O,SD,Cooperative,WACM,7200,68616,5604,3741,40541,752,436,3378,70,.,.,.,11377,112535,6426
2015,10562,Lagrange County Rural E M C,A,Bundled,O,IN,Cooperative,MISO,8905,61544,6702,2218,21668,194,1045,8902,246,.,.,.,12168,92114,7142
2015,10579,City of LaFollette,A,Bundled,O,TN,Municipal,TVA,28535,253736,18989,14725,119493,2947,2224,24187,3,0,0,0,45484,397416,21939
2015,10585,City of La Grange - (GA),A,Bundled,O,GA,Municipal,SOCO,14718,131803,11277,16315,165675,1820,16482,234993,54,.,.,.,47515,532471,13151
2015,10595,City of Lake City - (MN),A,Bundled,O,MN,Municipal,MISO,2411,19313,2830,1912,17663,360,8947,106863,7,.,.,.,13270,143839,3197
2015,10596,City of Lake Crystal - (MN),A,Bundled,O,MN,Municipal,MISO,1300,7478,1022,1240,8190,182,0,0,0,0,0,0,2540,15668,1204
2015,10599,"Lake Region Electric Coop, Inc - (OK)",A,Bundled,O,OK,Cooperative,AECI,29681.5,311008,22595,3523.5,38373,1645,3393.7,40039,124,0,0,0,36598.7,389420,24364
2015,10603,"Laclede Electric Coop, Inc",A,Bundled,O,MO,Cooperative,AECI,48084.3,505803,33370,10152,103738,3203,2406,27064,14,.,.,.,60642.3,636605,36587
2015,10605,Lake Mills Light & Water,A,Bundled,O,WI,Municipal,MISO,3573.9,26262,3802,4612.6,40612,581,0,0,0,0,0,0,8186.5,66874,4383
2015,10606,City of Lake Mills,A,Bundled,O,IA,Municipal,MISO,1125,8420,1070,869.9,6051,158,1060.1,8787,20,0,0,0,3055,23258,1248
2015,10610,"Lake Placid Village, Inc - (NY)",A,Bundled,O,NY,Municipal,NYIS,4757.3,79656,3950,4674.7,88626,933,.,.,.,.,.,.,9432,168282,4883
2015,10618,Lake Region Electric Cooperative - (MN),A,Bundled,O,MN,Cooperative,MISO,36342,310604,24813,8796.1,99871,1843,1376.6,14309,634,.,.,.,46514.7,424784,27290
2015,10620,City of Lake Worth - (FL),A,Bundled,O,FL,Municipal,FMPP,24852,225813,22830,19483,204532,3728,.,.,.,.,.,.,44335,430345,26558
2015,10623,City of Lakeland - (FL),A,Bundled,O,FL,Municipal,FMPP,166513.9,1468152,104590,89607.9,866845,20993,52789.9,699077,83,.,.,.,308911.7,3034074,125666
2015,10624,Southern Rivers Energy,A,Bundled,O,GA,Cooperative,SOCO,33107.4,268948,17730,3863.5,30832,1076,1798.2,26208,8,.,.,.,38769.1,325988,18814
2015,10625,"Lamb County Electric Coop, Inc",A,Bundled,O,TX,Cooperative,SWPP,3923,34301,2721,6583,61460,1329,19962,180073,7088,.,.,.,30468,275834,11138
2015,10627,Lakeview Light & Power,A,Bundled,O,WA,Cooperative,BPAT,9287.5,101171,7923,13676.6,150429,2122,.,.,.,.,.,.,22964.1,251600,10045
2015,10629,City of Lakota - (ND),A,Bundled,O,ND,Municipal,SWPP,594,7255,403,487,5865,138,97,626,5,.,.,.,1178,13746,546
2015,10632,"Lake Region Electric Assn, Inc - (SD)",A,Bundled,O,SD,Cooperative,WACM,6205,52631,3319,2047,23737,143,6230,90280,5,.,.,.,14482,166648,3467
