,|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..Part|,|Utility Characteristics..Service Type|,"|Utility Characteristics..""Data Type O = Observed I = Imputed""|",|Utility Characteristics..State|,|Utility Characteristics..Ownership|,|Utility Characteristics.BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
35,2020,17860.0,City of St Charles - (IL),A,Bundled,O,IL,Municipal,PJM,"17,934.7","122,678","13,769","21,021.6","162,667","2,236","19,902.0","199,201",43,0.0,0,0,"58,858.3","484,546","16,048"
36,2020,18193.0,Direct Energy Business,B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"379,299.5","7,302,904","19,809","5,175.5","99,285",883,0.0,0,0,"384,475.0","7,402,189","20,692"
37,2020,18955.0,"Tri-County Electric Coop, Inc (IL)",A,Bundled,O,IL,Cooperative,MISO,"33,002.4","230,382","15,983","3,765.6","31,771",344,"9,801.5","112,757",47,0.0,0,0,"46,569.5","374,910","16,374"
38,2020,19107.0,ENGIE Resources LLC,B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"161,479.1","2,400,361",459,"50,993.4","758,009",145,0.0,0,0,"212,472.5","3,158,370",604
39,2020,20222.0,Wayne-White Counties Elec Coop,A,Bundled,O,IL,Cooperative,MISO,"22,544.8","149,375","11,931","7,787.6","66,948","1,530","8,994.6","117,412",166,0.0,0,0,"39,327.0","333,735","13,627"
40,2020,49730.0,American PowerNet,B,Energy,O,IL,Retail Power Marketer,PJM,0.0,0,0,"18,492.9","384,268",4,0.0,0,0,0.0,0,0,"18,492.9","384,268",4
41,2020,50046.0,"Texas Retail Energy, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,0.0,0,0,"16,534.4","311,185",116,0.0,0,0,0.0,0,0,"16,534.4","311,185",116
42,2020,50046.0,"Texas Retail Energy, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"8,009.8","216,349",85,0.0,0,0,0.0,0,0,"8,009.8","216,349",85
43,2020,54820.0,Direct Energy Services,B,Energy,O,IL,Retail Power Marketer,MISO,"44,655.9","394,869","46,592","16,080.5","188,886","10,584",0.0,0,0,0.0,0,0,"60,736.4","583,755","57,176"
44,2020,54862.0,Champion Energy Services,B,Energy,O,IL,Retail Power Marketer,MISO,79.5,951,"1,510","25,535.1","567,095",635,0.0,0,0,0.0,0,0,"25,614.6","568,046","2,145"
45,2020,55722.0,AEP Energy,B,Energy,O,IL,Retail Power Marketer,PJM,"14,155.7","224,700","21,250","337,962.0","5,135,745","22,079",0.0,0,0,0.0,0,0,"352,117.7","5,360,445","43,329"
46,2020,55781.0,Liberty Power Corp.,B,Energy,O,IL,Retail Power Marketer,MISO,"23,257.3","240,326","36,398","12,138.5","213,035","1,515",0.0,0,0,0.0,0,0,"35,395.8","453,361","37,913"
47,2020,55815.0,"IDT Energy, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,"6,478.4","45,794","7,995",746.9,"5,893",170,0.0,0,0,0.0,0,0,"7,225.3","51,687","8,165"
48,2020,55874.0,"Energy Services Providers, Inc",B,Energy,O,IL,Retail Power Marketer,MISO,"18,310.9","205,429","23,535","1,910.0","23,134",676,0.0,0,0,0.0,0,0,"20,220.9","228,563","24,211"
49,2020,55878.0,Hudson Energy Services,B,Energy,O,IL,Retail Power Marketer,MISO,0.0,0,0,"47,515.8","797,271","3,934",0.0,0,0,0.0,0,0,"47,515.8","797,271","3,934"
50,2020,56212.0,"Ambit Energy Holdings, LLC",B,Energy,O,IL,Retail Power Marketer,MISO,"32,458.0","476,049","48,966","24,411.0","458,871","7,799",0.0,0,0,0.0,0,0,"56,869.0","934,920","56,765"
51,2020,56265.0,Energy Plus Holdings LLC,B,Energy,O,IL,Retail Power Marketer,PJM,"12,254.0","90,697","10,696","1,537.9","11,383",506,0.0,0,0,0.0,0,0,"13,791.9","102,080","11,202"
52,2020,56286.0,"Frontier Utilities, Inc.",B,Energy,O,IL,Retail Power Marketer,PJM,"2,858.9","22,451","2,875",0.0,0,0,0.0,0,0,0.0,0,0,"2,858.9","22,451","2,875"
53,2020,56379.0,"MC Squared Energy Services, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,"55,261.0","823,131","82,911","42,212.0","624,873","9,340","1,315.0","19,352",54,0.0,0,0,"98,788.0","1,467,356","92,305"
54,2020,56504.0,Major Energy Electric Services,B,Energy,O,IL,Retail Power Marketer,PJM,950.0,"5,992",979,161.0,"2,255",21,0.0,0,0,0.0,0,0,"1,111.0","8,247","1,000"
55,2020,56697.0,Ameren Illinois Company,A,Bundled,O,IL,Investor Owned,MISO,"486,932.9","5,000,723","459,922","214,851.3","2,453,658","65,683","18,758.2","370,162",282,.,.,.,"720,542.4","7,824,543","525,887"
56,2020,56697.0,Ameren Illinois Company,C,Delivery,O,IL,Investor Owned,MISO,"373,943.4","6,442,441","600,344","294,731.4","9,250,344","98,279","105,179.2","10,304,303",691,463.0,"16,913",1,"774,317.0","26,014,001","699,315"
57,2020,56775.0,Entrust Energy,B,Energy,O,IL,Retail Power Marketer,PJM,9.0,110,13,"7,710.0","111,653","1,859",0.0,0,0,0.0,0,0,"7,719.0","111,763","1,872"
58,2020,57037.0,Reliant Energy Northeast LLC,B,Energy,O,IL,Retail Power Marketer,PJM,"118,369.0","1,196,040","142,093",837.0,"9,832",205,"6,193.0","118,103",20,0.0,0,0,"125,399.0","1,323,975","142,318"
59,2020,57067.0,"ENGIE Retail, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,"1,713.1","17,480","2,569",415.9,"4,366",95,0.0,0,0,0.0,0,0,"2,129.0","21,846","2,664"
60,2020,57307.0,ENGIE Power & Gas LLC,B,Energy,O,IL,Retail Power Marketer,PJM,504.7,"4,869",598,"5,044.5","88,904",178,0.0,0,0,0.0,0,0,"5,549.2","93,773",776
61,2020,57313.0,SolarCity Corporation,A,Bundled,O,IL,Behind the Meter,PJM,1.9,23,3,0.0,0,0,0.0,0,0,0.0,0,0,1.9,23,3
62,2020,57488.0,"XOOM Energy Illinois, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,"12,161.0","111,860","17,372","4,976.0","49,955","2,154",0.0,0,0,0.0,0,0,"17,137.0","161,815","19,526"
63,2020,58119.0,Public Power LLC (CT),B,Energy,O,IL,Retail Power Marketer,PJM,"1,766.7","17,419","2,182","5,092.0","75,268",784,0.0,0,0,0.0,0,0,"6,858.7","92,687","2,966"
64,2020,58162.0,Viridian Energy PA LLC,B,Energy,O,IL,Retail Power Marketer,PJM,"5,255.5","46,020","5,384","1,682.0","15,076",760,0.0,0,0,0.0,0,0,"6,937.5","61,096","6,144"
65,2020,58314.0,"Palmco Power IL, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,"6,831.0","72,615","11,259",24.0,260,50,0.0,0,0,0.0,0,0,"6,855.0","72,875","11,309"
66,2020,58667.0,"North American Power and Gas, LLC",B,Energy,O,IL,Retail Power Marketer,PJM,"3,506.2","23,414","2,925",158.1,"1,020",60,0.0,0,0,0.0,0,0,"3,664.3","24,434","2,985"
