Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2014,6112,"Farmers Electric Coop, Inc - (IA)",IA,3,0.1,.,.,A,.,.,.,.,0.1,.,.,.,0.1,A
2014,6168,Farmers Electric Coop - (IA),IA,35,7.2,.,6,A,6,.,.,.,.,1.2,.,.,7.2,
2014,6234,City of Fayetteville,TN,40,5.56,0,0,A,0,0,0,0,0,5.56,0,0,5.56,A
2014,6374,Fitchburg Gas & Elec Light Co,MA,361,4.2,.,.,A,.,.,.,.,.,4.2,.,.,4.2,A
2014,6422,City of Florence - (AL),AL,5,0.07,0,0,A,0,0,0,0,0,0.07,0,0,0.07,A
2014,6452,Florida Power & Light Co,FL,363,184,184,0,E,184,.,.,.,.,.,.,.,184,E
2014,6455,"Duke Energy Florida, Inc",FL,2164,81.6,81.6,0,E,66,.,.,.,0,15.6,.,.,81.6,E
2014,6604,City of Fort Collins - (CO),CO,5,1.8,1.8,0,A,1.5,0,0,0,0,0.3,0,0,1.8,
2014,6608,Fort Loudoun Electric Coop,TN,26,1.35,0,0,A,0,0,0,0,0,0.35,0,1,1.35,A
2014,6612,Fort Payne Improvement Authority,AL,1,0.01,0,0,A,0,0,0,0,0,0.01,0,0,0.01,A
2014,6641,4-County Electric Power Assn,MS,11,1.1,0,0,A,0,0,0,0,0,0.1,0,1,1.1,A
2014,6782,Freeborn-Mower Coop Services,MN,25,6.9,6.9,.,A,6.9,.,.,.,.,.,.,.,6.9,A
2014,6784,French Broad Elec Member Corp,NC,41,0.4,.,.,A,.,.,.,.,.,0.4,.,.,0.4,A
2014,6840,City of Fulton - (KY),KY,3,0.02,0,0,A,0,0,0,0,0,0.02,0,0,0.02,A
2014,6894,City of Gaffney - (SC),SC,2,0.8,0.8,.,A,0.8,.,.,.,.,.,.,.,0.8,
2014,6909,Gainesville Regional Utilities,FL,13,4.1,4.1,3.5,A,4.1,.,.,.,.,.,.,.,4.1,A
2014,6923,City of Gallatin - (TN),TN,1,0.02,0,0,A,0,0,0,0,0,0.02,0,0,0.02,A
2014,6965,City of Garnett - (KS),KS,2,1.2,.,.,A,1.2,.,.,.,.,.,.,.,1.2,A
2014,7027,City of Gastonia - (NC),NC,5,2.9,2.3,0.9,A,2.3,.,.,.,.,0.6,.,.,2.9,A
2014,7140,Georgia Power Co,GA,632,146,80,.,E,95,.,.,4,.,47,.,.,146,E
2014,7174,Gibson Electric Members Corp,TN,16,0.39,0,0,A,0,0,0,0,0,0.39,0,0,0.39,A
2014,7265,City of Gladstone,MI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,7270,City of Glasgow - (KY),KY,11,0.47,0,0,A,0,0,0,0,0,0.47,0,0,0.47,A
2014,7294,City of Glendale - (CA),CA,6,2.2,.,0.6,A,.,0.8,.,0.3,.,0.3,.,0.8,2.2,A
2014,7374,City of Goodland - (KS),KS,1,0.7,.,.,A,0.7,.,.,.,.,.,.,.,0.7,A
2014,7483,City of Grand Haven - (MI),MI,2,0,0,0,A,.,.,.,.,0,.,.,.,0,A
2014,7563,Grand Valley Power,CO,88,0.1,.,0.1,A,.,.,.,.,.,0.1,.,.,0.1,A
2014,7601,Green Mountain Power Corp,VT,39,6.2,.,2.2,A,0.4,.,.,5.8,.,.,.,.,6.2,A
2014,7625,City of Greeneville - (TN),TN,23,0.44,0,0,A,0,0,0,0,0,0.44,0,0,0.44,A
2014,7827,Guntersville Electric Board,AL,3,0.15,0,0,A,0,0,0,0,0,0.15,0,0,0.15,A
2014,7864,Grundy County Rural Elec Coop,IA,8,2.1,2,0.1,A,2,.,.,.,.,.,.,0.1,2.1,A
2014,7887,Habersham Electric Membership Corp,GA,2,1,1,1,A,1,.,.,.,.,.,.,.,1,A
2014,7978,Halifax Electric Member Corp,NC,1,0.1,0,0.1,A,0,0,0,0,0,0.1,0,0,0.1,A
2014,8104,Town of Hardwick,VT,1,0.8,.,0.8,,.,.,.,0.8,.,.,.,.,0.8,
2014,8147,City of Harriman - (TN),TN,7,0.03,0,0,A,0,0,0,0,0.01,0.02,0,0,0.03,A
2014,8212,Hartford Electric,WI,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,8287,Hawaii Electric Light Co Inc,HI,59,10.6,.,0.1,A,2.3,.,.,0.6,0.1,7.4,0.2,.,10.6,A
2014,8366,Heber Light & Power Company,UT,1,0.8,.,0.8,A,.,.,.,0.8,.,.,.,.,0.8,A
