Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,RESIDENTIAL,Unnamed: 8,Unnamed: 9,COMMERCIAL,Unnamed: 11,Unnamed: 12,INDUSTRIAL,Unnamed: 14,Unnamed: 15,TRANSPORTATION,Unnamed: 17,Unnamed: 18,TOTAL,Unnamed: 20,Unnamed: 21
,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Facility Number,Facility Name,Utility Number,Utility Name,STATE,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2014,4146,E J Stoneman Station,56293,DTE Stoneman LLC,WI,MISO,0,0,0,22542,265203,1,0,0,0,0,0,0,22542,265203,1
2014,56814,ELACC Photovoltaic Power Facility,56027,MMA LA Power LP,CA,CISO,0,0,0,245,1432,1,0,0,0,0,0,0,245,1432,1
2014,57574,ETS Ewing Solar Facility,56915,"Solar Star New Jersey IV, LLC",NJ,PJM,0,0,0,196,2052,2,0,0,0,0,0,0,196,2052,2
2014,10634,Elmore Company,49899,CalEnergy Operating Corporation,CA,IID,0,0,0,22551,330787,1,0,0,0,0,0,0,22551,330787,1
2014,59367,Engelhard Solar LLC,58258,SunRay Power LLC,NJ,PJM,0,0,0,90,796,1,0,0,0,0,0,0,90,796,1
2014,59393,Eubank Landfill Solar Array,59171,"Suncore Photovoltaics, Inc",NM,PNM,0,0,0,0,0,0,578,3853,1,0,0,0,578,3853,1
2014,58261,FAA NorCal TRACON,58238,Enfinity NorCal 1 FAA LLC,CA,BANC,0,0,0,0,0,0,226,1845,1,0,0,0,226,1845,1
2014,57506,FRV SI Transport Solar LP,56827,FRV SI Transport Solar LP,CA,CISO,0,0,0,260,1761,1,0,0,0,0,0,0,260,1761,1
2014,58974,Fairview Farms Solar,58837,Fairview Farms Solar LLC,MA,ISNE,0,0,0,114,1117,1,0,0,0,0,0,0,114,1117,1
2014,57747,FedEx Field Solar Facility,57052,NRG Solar Arrowhead LLC,MD,PJM,0,0,0,262,2185,1,0,0,0,0,0,0,262,2185,1
2014,57791,Foundation AB,56930,"Foundation HA Energy Generation, LLC",CA,CISO,0,0,0,0,0,0,169,2620,1,0,0,0,169,2620,1
2014,58102,Foundation Cemex BMQ,57476,Foundation CA Fund VI Manager LLC,CA,CISO,0,0,0,0,0,0,264,3504,1,0,0,0,264,3504,1
