|Utility Characteristics..Data Year|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..State|,|Utility Characteristics..BA Code|,|Number of.Customers Enrolled.Residential|,|Number of.Customers Enrolled.Commercial|,|Number of.Customers Enrolled.Industrial|,|Number of.Customers Enrolled.Transportation|,|Number of.Customers Enrolled.Total|,|Types of Program.Time of Use Pricing.Residential|,|Types of Program.Time of Use Pricing.Commercial|,|Types of Program.Time of Use Pricing.Industrial|,|Types of Program.Time of Use Pricing.Transportation|,|Types of Program.Real Time Pricing.Residential|,|Types of Program.Real Time Pricing.Commercial|,|Types of Program.Real Time Pricing.Industrial|,|Types of Program.Real Time Pricing.Transportation|,|Types of Program.Variable Peak Pricing.Residential|,|Types of Program.Variable Peak Pricing.Commercial|,|Types of Program.Variable Peak Pricing.Industrial|,|Types of Program.Variable Peak Pricing.Transportation|,|Types of Program.Critical Peak Pricing.Residential|,|Types of Program.Critical Peak Pricing.Commercial|,|Types of Program.Critical Peak Pricing.Industrial|,|Types of Program.Critical Peak Pricing.Transportation|,|Types of Program.Critical Peak Rebate.Residential|,|Types of Program.Critical Peak Rebate.Commercial|,|Types of Program.Critical Peak Rebate.Industrial|,|Types of Program.Critical Peak Rebate.Transportation|
2019,3046,Duke Energy Progress - (NC),,SC,CPLE,"1,600","3,807",220,0,"5,627",Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3075,Carroll County - (TN),,TN,TVA,0,0,1,0,1,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3107,Carteret-Craven El Member Corp,,NC,CPLE,39,0,0,0,39,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3208,Cedarburg Light & Water Comm,,WI,MISO,37,27,2,0,66,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3222,Central Alabama Electric Coop,,AL,AEC,0,0,2,0,2,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N
2019,3226,"Central Rural Electric Cooperative, Inc",,OK,AECI,0,10,0,0,10,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3245,"Central Florida Elec Coop, Inc",,FL,SEC,2,3,313,0,318,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3248,Central Georgia El Member Corp,,GA,SOCO,5,0,4,0,9,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3249,Central Hudson Gas & Elec Corp,,NY,NYIS,965,253,59,0,"1,277",Y,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3250,Central Electric Membership Corp. - (NC),,NC,CPLE,3,0,0,0,3,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3266,Central Maine Power Co,,ME,ISNE,"5,271",870,144,0,"6,285",Y,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3273,"Central New Mexico El Coop, Inc",,NM,PNM,"2,064",11,0,0,"2,075",Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3293,Central Wisconsin Elec Coop,,WI,MISO,80,42,0,0,122,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3400,City of Chaska - (MN),,MN,MISO,9,0,0,0,9,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3408,City of Chattanooga - (TN),,GA,TVA,5,0,0,0,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3408,City of Chattanooga - (TN),,TN,TVA,83,19,55,0,157,Y,Y,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3413,PUD No 1 of Chelan County,,WA,CHPD,0,0,25,0,25,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3426,Cherokee Electric Coop,,AL,TVA,0,1,1,0,2,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
2019,3498,Chippewa Valley Electric Coop,,WI,MISO,0,10,24,0,34,N,Y,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N
