|Utility Characteristics..Data Year|,|Utility Characteristics..Facility Number|,|Utility Characteristics..Facility Name|,|Utility Characteristics..Utility Number|,|Utility Characteristics..Utility Name|,|Utility Characteristics..STATE|,|Utility Characteristics..BA Code|,|RESIDENTIAL.Revenues.Thousand Dollars|,|RESIDENTIAL.Sales.Megawatthours|,|RESIDENTIAL.Customers.Count|,|COMMERCIAL.Revenues.Thousand Dollars|,|COMMERCIAL.Sales.Megawatthours|,|COMMERCIAL.Customers.Count|,|INDUSTRIAL.Revenues.Thousand Dollars|,|INDUSTRIAL.Sales.Megawatthours|,|INDUSTRIAL.Customers.Count|,|TRANSPORTATION.Revenues.Thousand Dollars|,|TRANSPORTATION.Sales.Megawatthours|,|TRANSPORTATION.Customers.Count|,|TOTAL.Revenues.Thousand Dollars|,|TOTAL.Sales.Megawatthours|,|TOTAL.Customers.Count|
2019,58403,Bellingham PV,63249,Terraform Arcadia,MA,ISNE,0.0,0,0,474.0,"4,507",1,0.0,0,0,0.0,0,0,474.0,"4,507",1
2019,57733,Benjamin Moore & Co. Solar,57044,"Constellation Solar New Jersey, LLC",NJ,PJM,0.0,0,0,0.0,0,0,72.0,"1,963",1,0.0,0,0,72.0,"1,963",1
2019,63200,"Bergenmand Solar Partners, LLC Mahwah",60474,"Vanguard Energy Partners, LLC",NJ,PJM,0.0,0,0,33.0,"1,493",1,0.0,0,0,0.0,0,0,33.0,"1,493",1
2019,59097,Berry Plastics Solar,61944,GSRP,NJ,PJM,0.0,0,0,0.0,0,0,"1,232.0","15,728",1,0.0,0,0,"1,232.0","15,728",1
2019,61671,Betcher Community Solar Garden,61256,Betcher CSG LLC,MN,MISO,187.0,"1,662",5,0.0,0,0,0.0,0,0,0.0,0,0,187.0,"1,662",5
2019,61429,Big George PV CSG,60281,"Altus Power America Management, LLC",MA,ISNE,126.0,756,78,73.0,726,1,0.0,0,0,0.0,0,0,199.0,"1,482",79
2019,62607,Bloomfield Municipal Utilities Solar,60571,AEP Onsite Partners,OH,,0.0,0,0,488.0,"1,819",1,0.0,0,0,0.0,0,0,488.0,"1,819",1
2019,62077,Blue Shld Of Cal- El Dorado Hlls Mtr B,60947,Tesla Inc.,CA,BANC,0.0,0,0,183.0,"1,323",1,0.0,0,0,0.0,0,0,183.0,"1,323",1
2019,62194,Bolduan CSG,63249,Terraform Arcadia,MN,MISO,0.0,0,0,174.0,"1,546",1,0.0,0,0,0.0,0,0,174.0,"1,546",1
2019,56862,Bolthouse S&P and Rowen Farms Solar,56105,MMA WBF Power LP,CA,CISO,0.0,0,0,576.0,"3,325",1,0.0,0,0,0.0,0,0,576.0,"3,325",1
2019,59014,Bolton PV,58863,Main Street Power,MA,ISNE,0.0,0,0,"2,582.0","6,987",1,0.0,0,0,0.0,0,0,"2,582.0","6,987",1
2019,61915,Bowie State Solar,63249,Terraform Arcadia,MD,PJM,0.0,0,0,37.0,404,1,0.0,0,0,0.0,0,0,37.0,404,1
2019,58327,Bradley Energy Center,58300,Ameresco Select Inc,CT,ISNE,0.0,0,0,"1,859.0","16,573",1,0.0,0,0,0.0,0,0,"1,859.0","16,573",1
