,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
82,2014,6,6/30/14 23:20,,7/1/14,5:00 PM,"17 Hours, 40 Minutes",Northern Indiana Public Service Company,RFC,"North Central Indiana,nan","Thunderstorms,Severe Weather -",Unknown,127000,
83,2014,7,7/1/14,3:30 AM,,ongoing,nanongoing,Consumers Energy Co,RFC,"Southwest Michigan,nan","Thunderstorms,Severe Weather -",Unknown,51000,
84,2014,7,7/1/14,4:00 AM,7/3/14 23:30,,"67 Hours, 30 Minutes",Detroit Edison Co,RFC,"Southeast Michigan,nan","Thunderstorms,Severe Weather -",Unknown,140000,
85,2014,7,7/1/14,5:00 AM,7/2/14,2:00 AM,"21 Hours,0 Minutes",American Electric Power,RFC,"Indiana, Michigan,nan","Thunderstorms,Severe Weather -",Unknown,57237,
86,2014,7,7/2/14,8:39 AM,7/28/14,3:13 PM,"630 Hours, 34 Minutes",We Energies,MRO,Wisconsin,Fuel Supply Emergency - Coal,Unknown,Unknown,
87,2014,7,7/3/14,6:00 PM,7/6/14 12:00,,"66 Hours,0 Minutes",Exelon Corporation/PECO,RFC,"Pennsylvania,nan","Thunderstorms,Severe Weather -",Unknown,298165,
88,2014,7,7/3/14 22:55,,7/4/14,1:50 AM,"2 Hours, 55 Minutes",ISO New England,NPCC,"Massachusetts, Connecticut,Maine, Rhode Island,,Vermont, New Hampshire,","Thunderstorms,Severe Weather -,nan",Unknown,64000,
89,2014,7,7/8/14,5:30 PM,7/10/14,3:00 PM,"45 Hours, 30 Minutes",PPL Electric Utilities Corp,RFC,"Pennsylvania,Central and Northeastern","Thunderstorms,Severe Weather -",Unknown,66000,
90,2014,7,7/8/14,5:30 PM,7/12/14 23:20,,"101 Hours, 50 Minutes",FirstEnergy Corp: Potomac Edison,RFC,"Maryland, West Virginia,nan","Thunderstorms,Severe Weather -",Unknown,96000,
91,2014,7,7/8/14,5:30 PM,7/12/14 23:30,,"102 Hours,0 Minutes",FirstEnergy Corp: Mon Power,RFC,"West Virginia,nan","Thunderstorms,Severe Weather -",Unknown,71000,
92,2014,7,7/8/14,6:00 PM,7/11/14,5:53 PM,"71 Hours, 53 Minutes",FirstEnergy Corp: Met-Ed,RFC,"Eastern Pennsylvania,nan","Thunderstorms,Severe Weather -",Unknown,69000,
93,2014,7,7/8/14,7:21 PM,7/11/14,7:00 AM,"59 Hours, 39 Minutes",Grid),NPCC,"Upstate New York,nan","Thunderstorms,Severe Weather -",Unknown,65000,
94,2014,7,7/8/14,8:30 PM,7/11/14 23:00,,"74 Hours, 30 Minutes",Exelon Corporation/PECO,RFC,"Pennsylvania,nan","Thunderstorms,Severe Weather -",Unknown,260000,
95,2014,7,7/8/14,9:31 PM,,ongoing,nanongoing,Baltimore Gas & Electric Company,RFC,"Maryland,nan","Thunderstorms,Severe Weather -",Unknown,56600,
96,2014,7,7/23/14,7:14 PM,7/24/14 0:23,,"5 Hours,9 Minutes",American Electric Power,SERC,"Arkansas, Louisiana,nan","Thunderstorms,Severe Weather -",Unknown,57299,
97,2014,7,7/24/14,4:29 PM,7/24/14 23:32,,"7 Hours,3 Minutes",Southern California Edison,WECC,"California,nan","Megawatts,Load shedding of 100",126,26856,
98,2014,7,7/27/14,5:00 PM,7/28/14 23:00,,"30 Hours,0 Minutes",Detroit Edison Co,RFC,"Southeast Michigan,nan","Thunderstorms,Severe Weather -",Unknown,156611,
99,2014,7,7/27/14 23:00,,7/28/14,4:00 AM,"5 Hours,0 Minutes",California Department of Water Resources,WECC,"Central California,nan","Megawatts,Uncontrolled Loss of 300",480,1,
100,2014,8,8/13/14,6:08 AM,8/13/14,6:34 AM,"0 Hours, 26 Minutes",Peak Reliability,WECC,"Alberta, Canada,nan","(Islanding),Electrical System Separation",370,Unknown,
101,2014,8,8/20/14,1:21 AM,8/20/14,1:41 AM,"0 Hours, 20 Minutes",Peak Reliability,WECC,"Alberta, Canada,nan","(Islanding),Electrical System Separation",Unknown,Unknown,
102,2014,8,8/23/14,4:39 PM,8/24/14,1:46 AM,"9 Hours,7 Minutes",Illinois Municipal Electric Agency,RFC,"City of Highland, Illinois,nan","System,Operational Failure of Electrical",31,6549,
103,2014,8,8/24/14,3:20 AM,8/25/14,7:05 AM,"27 Hours, 45 Minutes",PG&E,WECC,"California,North of San Francisco,","Earthquake,nan",95,70000,
104,2014,8,8/26/14,3:30 PM,,ongoing,nanongoing,Detroit Edison Co,RFC,"Southeast Michigan,nan","Thunderstorms,Severe Weather -",Unknown,Unknown,
105,2014,9,9/5/14,4:30 PM,9/6/14,2:00 PM,"21 Hours, 30 Minutes",Exelon Corporation / ComEd,RFC,"Illinois,nan","Thunderstorms,Severe Weather -",Unknown,180400,
