Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2017,13448,City of New Holstein - (WI),M,Municipal,,,X,,X,X,,,X,X,X,X,X,X,X
2017,13464,Village of New Knoxville - (OH),M,Municipal,,X,,,,,,,,,,,,X,
2017,13465,City of Nielsville - (MN),M,Municipal,,X,,,,,,,,,,,,X,
2017,13466,City of New Lisbon,M,Municipal,,X,X,,,,,,,,,,,X,
2017,13467,New London Electric&Water Util,M,Municipal,,,X,,X,X,,,X,,X,,X,X,X
2017,13468,New London Municipal Utilities,M,Municipal,,X,X,,,,,,,,,,,X,
2017,13470,City of New Madrid - (MO),M,Municipal,,X,,,,,,,,,,,,X,
2017,13471,City of New Martinsville - (WV),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13477,Nelson Lagoon Elec Coop Inc,C,Cooperative,,X,,,,,,,,,,,,X,
2017,13478,"Entergy New Orleans, LLC",I,Investor Owned,X,,X,X,X,,X,,X,,X,X,X,X,X
2017,13480,New Prague Utilities Comm,M,Municipal,,,X,X,X,,X,,,X,X,X,X,X,X
2017,13481,City of New Richmond,M,Municipal,,,X,,X,X,,,X,X,X,,X,X,X
2017,13482,New River Light & Power Co,S,State,,,X,,X,,,,,,X,X,X,X,X
2017,13483,City of New Roads - (LA),M,Municipal,,X,,,,,,,,,,,,X,
2017,13485,New Smyrna Beach City of,M,Municipal,,,X,X,X,,,,X,,X,X,X,X,X
2017,13488,New Ulm Public Utilities Comm,M,Municipal,,,X,,X,,X,,X,X,X,X,X,X,X
2017,13489,Borough of New Wilmington - (PA),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13495,City of Newfolden - (MN),M,Municipal,,X,,,,,,,,,,,,X,
2017,13511,New York State Elec & Gas Corp,I,Investor Owned,X,,X,X,X,X,X,,X,X,X,X,X,X,X
2017,13519,City of Newark - (DE),M,Municipal,X,,X,,X,,,,X,,X,,X,X,X
2017,13520,"New-Mac Electric Coop, Inc",C,Cooperative,,,X,,X,,,,X,,X,,X,X,X
2017,13521,City of Newberry - (FL),M,Municipal,,X,X,,,,,,,,,,,X,
2017,13523,City of Newberry - (SC),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13524,"Newberry Electric Coop, Inc",C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2017,13525,Newberry Water & Light Board,M,Municipal,,X,,,,,,,,,,,,X,
2017,13527,City of Newburg - (MO),M,Municipal,,X,,,,,,,,,,,,X,
2017,13530,City of Newkirk - (OK),M,Municipal,,X,,,,,,,,,,,,X,
2017,13539,New York Mun Power Agency,A,Municipal Mktg Authority,,,,,,,,,,,X,,,,X
2017,13547,"Newnan Wtr, Sewer & Light Comm",M,Municipal,,,X,,X,,,,,,X,X,X,X,X
2017,13550,City of Newport,M,Municipal,,,X,,X,X,,,,X,X,,X,X,X
2017,13560,City of Newton - (IL),M,Municipal,,X,,,,,,,,,,,,X,
2017,13561,City of Newton - (NC),M,Municipal,,,X,,X,X,,,,X,X,X,X,X,X
2017,13563,City of Newton Falls - (OH),M,Municipal,,X,,,,,,,,,,,,X,
2017,13566,Newton County Rural E M C,C,Cooperative,,X,,,,,,,,,,,,X,
2017,13570,Ninnescah Rural E C A Inc,C,Cooperative,,,X,,X,,,,,,X,,X,X,X
2017,13573,Niagara Mohawk Power Corp.,I,Investor Owned,X,,X,X,X,X,X,,X,,X,X,X,X,X
2017,13577,City of Nicholasville - (KY),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13602,City of Niles - (OH),M,Municipal,,,X,,,,,,,,X,,X,X,X
2017,13603,City of Newton - (TX),M,Municipal,,X,,,,,,,,,,,,X,
2017,13604,City of Niles - (MI),M,Municipal,,,X,,X,,X,,,,X,,X,X,X
2017,13610,Niobrara Valley El Member Corp,C,Cooperative,,,X,,X,,,,X,,X,,X,X,X
2017,13630,North Carolina Mun Power Agny #1,A,Municipal Mktg Authority,,,,X,,,X,,,,X,,,,X
2017,13640,Northern Virginia Elec Coop,C,Cooperative,,,X,X,X,X,,,X,X,X,X,X,X,X
2017,13642,Nome Joint Utility Systems,M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13646,City of Norcross- (GA),M,Municipal,,,X,,X,,,,,,X,,X,X,X
2017,13647,Noble County R E M C,C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2017,13651,Nolin Rural Electric Coop Corp,C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
