"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","KA1","KA2","OD1","REM"
"99849999999","2021-03-05T20:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","040,1,N,0036,1","99999,9,9,N","999999,9,9,9","+0051,1","-0047,1","99999,9",,,"5,99,0051,1,999","SYN062CNII2 46/// /0407 10051 21047 92000 333 91210 555 11007 22008="
"99849999999","2021-03-05T21:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","010,1,N,0041,1","99999,9,9,N","999999,9,9,9","+0047,1","-0036,1","99999,9",,,"5,99,0051,1,999","SYN062CNII2 46/// /0108 10047 21036 92100 333 91210 555 11008 22009="
"99849999999","2021-03-05T22:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","340,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0040,1","-0030,1","99999,9",,,"5,99,0051,1,999","SYN062CNII2 46/// /3406 10040 21030 92145 333 91210 555 11006 22006="
"99849999999","2021-03-05T23:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","360,1,N,0031,1","99999,9,9,N","999999,9,9,9","+0032,1","-0029,1","99999,9",,,"5,99,0057,1,999","SYN062CNII2 46/// /3606 10032 21029 92245 333 91211 555 11006 22007="
"99849999999","2021-03-06T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","350,1,N,0026,1","99999,9,9,N","999999,9,9,9","+0017,1","-0020,1","99999,9",,,"5,99,0046,1,999","SYN062CNII2 46/// /3505 10017 21020 92345 333 91209 555 11005 22006="
"99849999999","2021-03-06T00:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","SHEF ","99999","V020","999,9,9,9999,9","99999,9,9,9","999999,9,9,9","+0022,1","+9999,9","99999,9","240,M,+0056,1","240,N,-0017,1",,
"99849999999","2021-03-06T01:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","340,1,N,0021,1","99999,9,9,N","999999,9,9,9","+0012,1","-0024,1","99999,9",,,"5,99,0051,1,999","SYN062CNII2 46/// /3404 10012 21024 90045 333 91210 555 11004 22005="
"99849999999","2021-03-06T02:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","350,1,N,0015,1","99999,9,9,N","999999,9,9,9","+0012,1","-0040,1","99999,9",,,"5,99,0036,1,999","SYN062CNII2 46/// /3503 10012 21040 90145 333 91207 555 11003 22004="
"99849999999","2021-03-06T03:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","330,1,N,0005,1","99999,9,9,N","999999,9,9,9","+0010,1","-0040,1","99999,9",,,"5,99,0036,1,999","SYN062CNII2 46/// /3301 10010 21040 90245 333 91207 555 11001 22001="
"99849999999","2021-03-06T04:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","999,9,C,0000,1","99999,9,9,N","999999,9,9,9","+0007,1","-0051,1","99999,9",,,"5,99,0021,1,999","SYN062CNII2 46/// /0000 10007 21051 90345 333 91204 555 11000 22000="
"99849999999","2021-03-06T05:00:00","4","41.856","-87.609","190.0","NORTHERLY ISLAND, IL US","FM-13","99999","V020","230,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0017,1","-0048,1","99999,9",,,"5,99,0010,1,999","SYN062CNII2 46/// /2302 10017 21048 90445 333 91202 555 11002 22002="
