Data Year,Utility Number,Utility Name,Ownership,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total
2021,831,City of Arlington - (SD),Municipal,Y,SD,SWPP,380,60,.,.,440,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,380,60,0,0,440,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,887,"Arrowhead Electric Coop, Inc",Cooperative,Y,MN,MISO,2,0,.,.,2,"5,305",565,.,.,"5,870",.,.,.,.,.,.,.,.,.,.,"5,307",565,0,0,"5,872","43,741","26,942",.,.,"70,683",.,.,.,.,.,.,.,.,.,.
2021,902,Town of Ashburnham - (MA),Municipal,Y,MA,ISNE,"2,928",174,39,.,"3,141",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,928",174,39,0,"3,141",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,907,City of Ashland - (OR),Municipal,Y,OR,PACW,"10,626","1,358",209,.,"12,193",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"10,626","1,358",209,0,"12,193",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
2021,918,City of Aspen- (CO),Municipal,Y,CO,PSCO,"2,016","1,052",.,.,"3,068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"2,016","1,052",0,0,"3,068",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,925,"Ashley Chicot Elec Coop, Inc",Cooperative,Y,AR,MISO,.,.,.,.,.,989,610,126,.,"1,725",.,.,.,.,.,.,.,.,.,.,989,610,126,0,"1,725","13,070","14,782","5,604",.,"33,456",.,.,.,.,.,.,.,.,.,.
2021,942,Atchison-Holt Electric Coop,Cooperative,Y,IA,AECI,.,.,.,.,.,"1,083",72,36,.,"1,191",.,.,.,.,.,.,.,.,.,.,"1,083",72,36,0,"1,191","11,757","4,130",428,.,"16,315",.,.,.,.,.,.,.,.,.,.
2021,942,Atchison-Holt Electric Coop,Cooperative,Y,MO,AECI,.,.,.,.,.,"2,172",242,169,.,"2,583",.,.,.,.,.,.,.,.,.,.,"2,172",242,169,0,"2,583","20,421","17,258","29,892",.,"67,571",.,.,.,.,.,.,.,.,.,.
2021,944,City of Athens - (AL),Municipal,,AL,TVA,"24,590","2,843",0,0,"27,433",496,9,14,0,519,0,0,0,0,0,"18,753","4,603",0,0,"23,356","43,839","7,455",14,0,"51,308","3,624","35,070","319,937",0,"358,631",0,0,0,0,0,0,0,0,0,0
2021,947,Athens Utility Board,Municipal,,TN,TVA,0,0,0,0,0,308,0,6,0,314,0,0,0,0,0,"10,872","2,418",1,0,"13,291","11,180","2,418",7,0,"13,605","4,364",0,"295,432",0,"299,796",0,0,0,0,0,0,0,0,0,0
2021,963,Atlantic City Electric Co,Investor Owned,,NJ,PJM,0,576,.,.,576,.,.,.,.,0,.,.,.,.,.,"494,334","65,115",647,.,"560,096","494,334","65,691",647,0,"560,672",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,965,Atlantic Municipal Utilities,Municipal,Y,IA,MISO,.,.,.,.,.,"3,826",835,2,.,"4,663",.,.,.,.,.,.,.,.,.,.,"3,826",835,2,0,"4,663","42,294","51,537","90,322",.,"184,153",.,.,.,.,.,.,.,.,.,.
2021,993,Auburn Board of Public Works,Municipal,Y,NE,SWPP,"1,842",847,1,.,"2,690",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.,"1,842",847,1,0,"2,690",.,.,.,.,0,.,.,.,.,.,.,.,.,.,.
2021,994,City of Auburn - (IN),Municipal,,IN,PJM,.,.,.,.,.,"6,658",913,159,.,"7,730",.,.,.,.,.,.,.,.,.,.,"6,658",913,159,0,"7,730","72,139","29,705","322,506",.,"424,350",.,.,.,.,.,.,.,.,.,.
2021,995,City of Auburn - (IA),Municipal,Y,IA,MISO,140,25,.,.,165,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,140,25,0,0,165,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2021,998,City of Augusta - (KS),Municipal,Y,KS,SWPP,"3,824",247,17,.,"4,088",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.,"3,824",247,17,0,"4,088",0,0,0,.,0,.,.,.,.,.,.,.,.,.,.
2021,1002,City of Aurelia - (IA),Municipal,Y,IA,MISO,442,62,14,.,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,442,62,14,0,518,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
