,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
2022,4,04/05/2022 4:40 AM,04/05/2022 5:21 PM,"12 Hours, 41 Minutes",,Evergy,SERC/RF,Missouri: Jackson County;,reclosing).-System Operations,,73,16299
,,,,,,,,,,,2/27/2023 12:01:01 PM,
"Table B.1 Major Disturbances and Unusual Occurrences, Year-to-Date 2022",,,,,,,,,,,,
,,,,,,,,,,,,Number of
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system-System,,,
2022,4,04/10/2022 3:41 PM,04/10/2022 3:50 PM,,"0 Hours, 9 Minutes",Entergy - Transmission Operations Engineering,SERC,Arkansas: Pulaski County;,,Operations,5,Unknown
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system-System,,,
2022,4,04/10/2022 3:41 PM,04/10/2022 3:50 PM,,"0 Hours, 9 Minutes",Entergy Arkansas Inc,SERC,Arkansas: Pulaski County;,,Operations,5,Unknown
,,,,,,,,"Oregon: Multnomah County,",,,,
,,,,,,,,"Clackamas County, Marion",Loss of electric service to more,,,
,,,,,,,,"County, Yamhill County,","than 50,000 customers for 1",,,
2022,4,04/11/2022 9:15 AM,04/13/2022 8:00 AM,"46 Hours, 45 Minutes",,Portland General Electric Co,WECC,Washington County;,hour or more-Severe Weather,,3140,73717
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
2022,4,04/13/2022 10:04 PM,04/14/2022 12:02 AM,,"1 Hours, 58 Minutes",Entergy - Transmission Operations Engineering,SERC,Louisiana: Iberia Parish;,reclosing).-System Operations,,7,2429
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,,,successful automatic,,,
,,,,,,,,California: Los Angeles,reclosing).-Transmission,,,
2022,4,04/14/2022 5:59 AM,04/14/2022 6:13 AM,,"0 Hours, 14 Minutes",Los Angeles Department of Water & Power,WECC,County;,,Interruption,164,262268
,,,,,,,,,Unexpected Transmission loss,,,
,,,,,,,,,"within its area, contrary to",,,
,,,,,,,,,"design, of three or more Bulk",,,
,,,,,,,,,Electric System Facilities,,,
,,,,,,,,,caused by a common,,,
,,,,,,,,,disturbance (excluding,,,
,,,,,,,SERC/MR,,successful automatic,,,
2022,4,04/16/2022 11:08 AM,.,.,". Hours, . Minutes",MidAmerican Energy Co,O,Iowa: Polk County; Illinois:,reclosing).-System Operations,,0,0
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of a power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blacked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system-System,,,
2022,4,04/16/2022 5:44 PM,.,.,". Hours, . Minutes",Pacific Gas & Electric Co,WECC,California:,,Operations,9290,Unknown
,,,,,,,,"New York: Broome County,",,,,
,,,,,,,,"Chemung County, Chenango",,,,
,,,,,,,,"County, Clinton County,",,,,
,,,,,,,,"Columbia County, Cortland",,,,
,,,,,,,,"County, Delaware County,",,,,
,,,,,,,,"Dutchess County, Erie",,,,
,,,,,,,,"County, Essex County,",,,,
,,,,,,,,"Greene County, Hamilton",,,,
,,,,,,,,"County, Herkimer County,",,,,
,,,,,,,,"Madison County, Oneida",,,,
