,Unnamed: 0,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
50,2019,5,05/09/2019 7:06 PM,05/10/2019 2:57 AM,"7 Hours, 51 Minutes","CenterPoint Energy Houston Electric, LLC",TRE,Texas: Harris County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission nan",Interruption,0,0,
51,2019,5,05/10/2019 2:00 AM,05/10/2019 12:15 PM,"10 Hours, 15 Minutes",Entergy Corp,TRE,Texas:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,61008,
52,2019,5,05/18/2019 3:45 PM,05/20/2019 4:00 AM,"36 Hours, 15 Minutes",Oncor Electric Delivery Company LLC,TRE,Smith County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,68000,
53,2019,5,05/23/2019 1:11 AM,05/23/2019 12:00 PM,"10 Hours, 49 Minutes",Northern Indiana Pub Serv Co,RF,Indiana:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission nan",Interruption,0,0,
54,2019,5,05/23/2019 4:55 PM,05/23/2019 11:40 PM,"6 Hours, 45 Minutes",Dominion Energy VA,SERC,Virginia:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,,100000,
55,2019,5,05/24/2019 9:47 PM,05/24/2019 11:58 PM,"2 Hours, 11 Minutes",Pacific Gas & Electric Co,WECC,California:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-Severe nan,Weather,20,10961,
56,2019,5,05/27/2019 10:07 PM,05/28/2019 3:00 AM,"4 Hours, 53 Minutes",Dayton Power & Light Co,RF,County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather/Transmission nan",Interruption,347,70000,
57,2019,6,06/02/2019 6:19 PM,06/02/2019 8:43 PM,,"2 Hours, 24 Minutes",Pacific Gas & Electric Co,WECC,California:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.-Severe Weather/Transmission nan,Interruption,,
58,2019,6,06/06/2019 6:09 PM,06/06/2019 6:35 PM,,"0 Hours, 26 Minutes",CPS Energy,TRE,Texas: Bexar County;,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,55017,
59,2019,6,06/07/2019 2:43 PM,06/07/2019 4:20 PM,,"1 Hours, 37 Minutes",American Electric Power - Texas,TRE,Texas: Pecos County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,8,1
60,2019,6,06/08/2019 3:50 PM,06/08/2019 7:40 PM,,"3 Hours, 50 Minutes",Southwestern Public Service,TRE,Texas: Potter County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission nan",Interruption,0,0
