Year,Month,Event date and time,Restoration date and time,Duration,Unnamed: 7,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,
,,,,,,,,"Missouri: Jackson County, Clay",,,,
,,,,,,,,"County, Platte County, Andrew",Loss of electric service to more,,,
,,,,,,,,County; Kansas: Johnson,"than 50,000 customers for 1",,,
2018,6,06/02/2018 5:00 AM,06/02/2018 11:00 AM,,"6 Hours, 0 Minutes",Kansas City Power & Light Co.,SPP RE,County;,hour or more-Severe Weather,Unknown,,103535
,,,,,,,,Connecticut: Maine:,,,,
,,,,,,,,Massachusetts: New,Loss of electric service to more,,,
,,,,,,,,Hampshire: Rhode Island:,"than 50,000 customers for 1",,,
2018,6,06/18/2018 6:20 PM,06/19/2018 12:15 AM,,"5 Hours, 55 Minutes",ISO New England,NPCC,Vermont:,hour or more-Severe Weather,Unknown,,112927
,,,,,,,,,Complete operational failure or,,,
,,,,,,,,,shut-down of the transmission,,,
,,,,,,,,,and/or distribution of electrical,,,
,,,,,,,,,system-Transmission,,,
2018,6,06/20/2018 10:58 PM,06/21/2018 6:05 AM,,"7 Hours, 7 Minutes",Lake Worth Utilities,FRCC,Florida: Palm Beach County;,Interruption,,73,27000
,,,,,,,,,Electrical System Separation,,,
,,,,,,,,,(Islanding) where part or parts,,,
,,,,,,,,,of power grid remain(s),,,
,,,,,,,,,operational in an otherwise,,,
,,,,,,,,,blocked out area or within the,,,
,,,,,,,,,partial failure of an integrated,,,
,,,,,,,,,electrical system-Severe,,,
2018,6,06/22/2018 2:38 PM,.,.,". Hours, . Minutes",Peak Reliability,WECC,Washington:,,Weather,10000,4200000
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,6,06/28/2018 2:50 PM,06/29/2018 9:00 AM,"18 Hours, 10 Minutes",,Southern Company,SERC,Alabama: Georgia:,hour or more-Severe Weather,,160,48109
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,6,06/28/2018 6:36 PM,07/01/2018 7:00 AM,"60 Hours, 24 Minutes",,Ameren Missouri,SERC,Missouri: Illinois:,hour or more-Severe Weather,Unknown,,112000
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for 15 minutes or,,,
,,,,,,,,,more from a single incident-,,,
2018,6,06/29/2018 7:35 AM,06/29/2018 9:30 AM,,"1 Hours, 55 Minutes",Minnesota Power,MRO,Minnesota: St. Louis County;,Severe Weather,,350,Unknown
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability-,,,
2018,7,07/11/2018 12:58 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California:,Fuel Supply Deficiency,,0,0
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for 15 minutes or,,,
,,,,,,,,,more from a single incident-,,,
2018,7,07/11/2018 3:40 PM,07/11/2018 4:00 PM,,"0 Hours, 20 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Transmission Interruption,,425,26195
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability-,,,
2018,7,07/16/2018 5:15 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California: Merced County;,Fuel Supply Deficiency,,0,0
,,,,,,,,,Fuel supply emergencies that,,,
,,,,,,,,,could impact electric power,,,
,,,,,,,,,system adequacy or reliability-,,,
2018,7,07/18/2018 4:00 AM,.,.,". Hours, . Minutes",California Department of Water Resources,WECC,California: Fresno County;,Fuel Supply Deficiency,,0,0
,,,,,,,,,"Total generation loss, within",,,
,,,,,,,,,one minute of: greater than or,,,
,,,,,,,,,"equal to 2,000 Megawatts in",,,
,,,,,,,,,the Eastern or Western,,,
,,,,,,,,,Interconnection or greater than,,,
,,,,,,,,,"or equal to 1,400 Megawatts in",,,
,,,,,,,,,the ERCOT Interconnection.-,,,
,,,,,,,,,Severe Weather/Transmission,,,
2018,7,07/18/2018 5:28 PM,07/18/2018 5:31 PM,,"0 Hours, 3 Minutes",Bonneville Power Administration,WECC,Oregon:,Interruption,Unknown,,Unknown
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,7,07/20/2018 4:19 PM,07/20/2018 4:48 PM,,"0 Hours, 29 Minutes",Tennessee Valley Authority,SERC,Kentucky:,hour or more-Severe Weather,Unknown,,87833
,,,,,,,,,,,3/26/2019 10:57:08 AM,
"Table B.2 Major Disturbances and Unusual Occurrences, 2018",,,,,,,,,,,,
,,,,,,,,,,,,Number of
Restoration Date and,,,,,,,NERC,,,,Customers,
Year,Month,Event Date and Time,Time,,Duration,Utility/Power Pool,Region,Area Affected,Type of Disturbance,Loss (megawatts),,Affected
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2018,7,07/21/2018 4:45 AM,07/21/2018 11:15 AM,,"6 Hours, 30 Minutes",Entergy Corp,SERC,Arkansas:,hour or more-Severe Weather,,Unknown,64930
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
