,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
56,2018,5,05/15/2018 6:14 PM,05/15/2018 7:00 PM,"nan0 Hours, 46 Minutes",Metropolitan Edison Co,RF,Pennsylvania:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,52872
57,2018,5,05/15/2018 6:35 PM,05/18/2018 3:57 PM,"69 Hours, 22 Minutes",ISO New England,NPCC,Connecticut: Massachusetts: Rhode Island:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,120000
58,2018,5,05/17/2018 1:11 AM,.,".. Hours, . Minutes",Peak Reliability,WECC,California: Contra Costa County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,70,70000
59,2018,5,05/17/2018 1:11 AM,05/18/2018 12:38 AM,"23 Hours, 27 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Transmission nan",Disruption,124,70000
60,2018,5,05/26/2018 6:40 PM,05/27/2018 11:50 PM,"29 Hours, 10 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,163932
61,2018,6,06/02/2018 5:00 AM,06/02/2018 11:00 AM,"nan6 Hours, 0 Minutes",Kansas City Power & Light Co.,SPP RE,"Missouri: Jackson County, Clay County, Platte County, Andrew County; Kansas: Johnson County;","Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,103535
62,2018,6,06/18/2018 6:20 PM,06/19/2018 12:15 AM,"nan5 Hours, 55 Minutes",ISO New England,NPCC,Connecticut: Maine: Massachusetts: New Hampshire: Rhode Island: Vermont:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,112927
63,2018,6,06/20/2018 10:58 PM,06/21/2018 6:05 AM,"nan7 Hours, 7 Minutes",Lake Worth Utilities,FRCC,Florida: Palm Beach County;,Complete operational failure or shut-down of the transmission and/or distribution of electrical system-Transmission Interruption,,73,27000
64,2018,6,06/22/2018 2:38 PM,.,".. Hours, . Minutes",Peak Reliability,WECC,Washington:,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-Severe nan,Weather,10000,4200000
65,2018,6,06/28/2018 2:50 PM,06/29/2018 9:00 AM,"18 Hours, 10 Minutes",Southern Company,SERC,Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,160,48109
66,2018,6,06/28/2018 6:36 PM,07/01/2018 7:00 AM,"60 Hours, 24 Minutes",Ameren Missouri,SERC,Missouri: Illinois:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,112000
67,2018,6,06/29/2018 7:35 AM,06/29/2018 9:30 AM,"nan1 Hours, 55 Minutes",Minnesota Power,MRO,Minnesota: St. Louis County;,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident- Severe Weather,,350,Unknown
68,2018,7,07/11/2018 12:58 AM,.,".. Hours, . Minutes",California Department of Water Resources,WECC,California:,Fuel supply emergencies that could impact electric power system adequacy or reliability- Fuel Supply Deficiency,,0,0
