,date,county,max_num_people_out,duration,customer_mins,wind_speed_mph
289,08/12/2021,Will,816.0,1110.0,193125.0,60.00
290,09/07/2021,Will,8355.0,1230.0,1434555.0,74.00
291,10/11/2021,Will,564.0,480.0,59355.0, 
292,02/14/2021,Williamson,92.0,1035.0,13740.0, 
293,02/16/2021,Williamson,17.0,1125.0,1485.0, 
294,03/10/2021,Williamson,55.0,300.0,6780.0,39.00
295,03/25/2021,Williamson,1.0,945.0,945.0,35.00
296,06/29/2021,Williamson,349.0,570.0,6555.0,52.00
297,07/10/2021,Williamson,6630.0,900.0,312795.0,52.00
298,12/24/2021,Williamson,8.0,135.0,780.0,37.00
299,02/13/2021,Winnebago,1.0,15.0,15.0, 
300,02/15/2021,Winnebago,12.0,1740.0,7320.0, 
301,04/29/2021,Winnebago,735.0,540.0,44475.0,55.00
302,07/14/2021,Winnebago,1135.0,420.0,33615.0,60.00
303,08/10/2021,Winnebago,3106.0,1125.0,131700.0,55.00
304,08/11/2021,Winnebago,7882.0,1380.0,4501875.0,52.00
305,08/24/2021,Winnebago,1088.0,1230.0,21960.0,50.00
306,09/07/2021,Winnebago,807.0,240.0,31290.0,55.00
307,12/15/2021,Winnebago,18.0,450.0,3960.0,54.00
308,10/11/2021,Woodford,53.0,300.0,3390.0, 
