,fips_code,county,state,customers_out,run_start_time,run_end_time
224,17007,Boone,Illinois,113.0,2014-11-01 08:00:00,2014-11-01 08:15:00
225,17007,Boone,Illinois,49.0,2014-12-04 06:15:00,2014-12-04 06:30:00
226,17007,Boone,Illinois,35.0,2014-11-06 07:15:00,2014-11-06 07:30:00
227,17007,Boone,Illinois,49.0,2014-12-04 05:30:00,2014-12-04 05:45:00
228,17007,Boone,Illinois,30.0,2014-11-01 09:15:00,2014-11-01 09:30:00
229,17007,Boone,Illinois,1.0,2014-12-03 17:00:00,2014-12-03 20:15:00
230,17007,Boone,Illinois,38.0,2014-11-09 16:30:00,2014-11-09 16:60:00
231,17007,Boone,Illinois,30.0,2014-11-01 09:45:00,2014-11-01 09:60:00
232,17007,Boone,Illinois,1.0,2014-11-10 01:45:00,2014-11-10 02:15:00
233,17007,Boone,Illinois,30.0,2014-11-01 09:30:00,2014-11-01 09:45:00
234,17007,Boone,Illinois,1.0,2014-12-03 20:30:00,2014-12-03 20:60:00
235,17007,Boone,Illinois,49.0,2014-12-04 05:15:00,2014-12-04 05:30:00
236,17007,Boone,Illinois,30.0,2014-11-01 08:30:00,2014-11-01 08:45:00
237,17007,Boone,Illinois,49.0,2014-12-04 05:00:00,2014-12-04 05:15:00
238,17007,Boone,Illinois,71.0,2014-12-04 04:30:00,2014-12-04 04:15:00
239,17007,Boone,Illinois,1.0,2014-12-03 22:00:00,2014-12-03 22:15:00
240,17007,Boone,Illinois,30.0,2014-11-01 08:45:00,2014-11-01 08:60:00
241,17007,Boone,Illinois,1.0,2014-12-03 21:30:00,2014-12-03 21:45:00
242,17007,Boone,Illinois,38.0,2014-11-09 16:00:00,2014-11-09 16:15:00
243,17007,Boone,Illinois,1.0,2014-12-03 21:00:00,2014-12-03 21:15:00
244,17007,Boone,Illinois,49.0,2014-12-04 05:45:00,2014-12-04 05:60:00
245,17007,Boone,Illinois,1.0,2014-11-10 02:15:00,2014-11-10 02:30:00
246,17007,Boone,Illinois,35.0,2014-11-06 06:30:00,2014-11-06 06:45:00
247,17007,Boone,Illinois,1.0,2014-12-17 20:15:00,2014-12-15 19:30:00
248,17007,Boone,Illinois,49.0,2014-12-21 16:15:00,2014-12-21 16:45:00
249,17007,Boone,Illinois,1.0,2014-12-28 05:00:00,2014-12-23 15:15:00
250,17007,Boone,Illinois,49.0,2014-12-21 16:45:00,2014-12-21 16:60:00
251,17007,Boone,Illinois,1.0,2014-12-15 17:30:00,2014-12-15 17:45:00
252,17007,Boone,Illinois,35.0,2014-11-06 06:45:00,2014-11-06 06:60:00
253,17007,Boone,Illinois,1.0,2014-12-14 19:15:00,2014-12-14 19:30:00
254,17007,Boone,Illinois,10.0,2014-12-12 17:45:00,2014-12-12 17:60:00
