Utility Characteristics,,,,,,,,,RESIDENTIAL,,,COMMERCIAL,,,INDUSTRIAL,,,TRANSPORTATION,,,TOTAL,,
,,,,,,,,,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers,Revenues,Sales,Customers
Data Year,Utility Number,Utility Name,Part,Service Type,"Data Type
O = Observed
I = Imputed",State,Ownership,BA Code,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count,Thousand Dollars,Megawatthours,Count
2022,1769,"Black Hills Electric Coop, Inc",A,Bundled,O,SD,Cooperative,SWPP,"17,766.0","127,438","8,966","5,113.5","37,117","1,954",671.4,"4,765",94,0.0,0,0,"23,550.9","169,320","11,014"
2022,1775,Black River Electric Coop - (MO),A,Bundled,O,MO,Cooperative,AECI,"33,071.0","300,506","21,299","13,960.0","134,098","3,527","1,739.0","23,098",3,.,.,.,"48,770.0","457,702","24,829"
2022,1776,City of Black River Falls,A,Bundled,O,WI,Municipal,MISO,"2,888.0","19,399","2,227","4,527.5","35,465",560,0.0,0,0,0.0,0,0,"7,415.5","54,864","2,787"
2022,1780,Black Warrior Elec Member Corp,A,Bundled,O,AL,Cooperative,SOCO,"32,651.9","270,829","20,198","12,154.9","104,686","6,559",731.8,"8,289",2,.,.,.,"45,538.6","383,804","26,759"
2022,1857,Block Island Utility District,A,Bundled,O,RI,Political Subdivision,ISNE,"2,591.0","7,108","1,610","2,723.0","7,291",370,0.0,0,0,0.0,0,0,"5,314.0","14,399","1,980"
2022,1884,BENCO Electric Cooperative,A,Bundled,O,MN,Cooperative,MISO,"32,678.0","220,025","17,999","13,108.0","103,807","1,530","5,916.0","61,055",17,.,.,.,"51,702.0","384,887","19,546"
2022,1886,Blue Grass Energy Coop Corp,A,Bundled,O,KY,Cooperative,PJM,"109,313.0","875,129","58,839","21,596.0","171,890","3,094","24,446.0","306,876",12,.,.,.,"155,355.0","1,353,895","61,945"
2022,1889,Blue Ridge Elec Member Corp - (NC),A,Bundled,O,NC,Cooperative,DUK,"100,803.0","770,827","70,401","29,799.0","259,121","8,645","7,114.0","100,125",7,.,.,.,"137,716.0","1,130,073","79,053"
2022,1890,Blue Ridge Electric Coop Inc - (SC),A,Bundled,O,SC,Cooperative,DUK,"132,556.3","782,340","64,859","22,790.1","185,368","5,247","15,631.9","151,059",54,.,.,.,"170,978.3","1,118,767","70,160"
2022,1891,Blue Ridge Mountain EMC - (GA),A,Bundled,O,GA,Cooperative,TVA,"45,159.0","295,721","29,685","25,478.0","158,393","7,912",0.0,0,0,0.0,0,0,"70,637.0","454,114","37,597"
