Utility Characteristics,,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2019,20506,"Wheatland Rural Elec Assn, Inc",Y,WY,WACM,2,3,1,0,6,0.0,0.0,0.0,0.0,0.0,150,21,5,0,176,0.0,0.0,0.0,0.0,0.0,13,3,3,0,20,0,0,0,0,0,13,3,3,0,20,0,0,0,0,0,30.000,7.000,5.000,0.000,
2019,20509,Wheat Belt Public Power Dist,,NE,WACM,42,449,0,0,491,0.0,0.1,0.0,0.0,0.1,645,"6,082",0,0,"6,726",0.0,0.1,0.0,0.0,0.1,17,13,0,0,30,0,0,0,0,0,17,13,0,0,30,0,0,0,0,0,15.380,16.800,0.000,0.000,
2019,20521,Wheeling Power Co,,WV,PJM,"2,321","4,409","1,102",0,"7,832",0.3,0.7,0.2,0.0,1.2,"18,565","71,016","6,566",0,"96,147",0.3,0.7,0.2,0.0,1.2,100,220,55,0,375,144,186,46,0,376,100,299,74,0,473,144,358,89,0,591,8.000,13.700,14.100,0.000,
2019,20618,Town of Wickenburg,Y,AZ,AZPS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,51,67,0,0,118,0,0,0,0,0,51,67,0,0,118,0.000,0.000,0.000,0.000,
2019,20639,"Wild Rice Electric Coop, Inc",,MN,MISO,"1,674",418,0,0,"2,092",0.2,0.1,0.0,0.0,0.3,"11,638","2,909",0,0,"14,547",0.2,0.1,0.0,0.0,0.3,151,38,0,0,189,87,22,0,0,108,"1,039",260,0,0,"1,299","1,119",280,0,0,"1,398",16.730,12.290,0.000,0.000,
2019,20737,Willmar Municipal Utilities,,MN,MISO,58,319,346,0,722,0.0,0.1,0.1,0.0,0.2,999,"3,884","4,208",0,"9,091",0.0,0.1,0.1,0.0,0.2,16,20,22,0,58,6,8,9,0,23,16,20,22,0,58,6,8,9,0,23,17.300,12.200,12.200,0.000,
2019,20806,City of Windom,,MN,MISO,19,292,941,0,"1,252",0.0,0.1,0.1,0.0,0.1,363,"3,575","14,117",0,"18,055",0.0,0.1,0.1,0.0,0.1,6,42,25,0,74,0,9,29,0,38,123,513,380,0,"1,016",0,107,424,0,532,19.300,12.200,15.000,0.000,
2019,20823,Winner Municipal Utility,,SD,SWPP,18,80,0,0,97,0.0,0.0,0.0,0.0,0.0,249,958,0,0,"1,207",0.0,0.0,0.0,0.0,0.0,1,6,0,0,7,1,2,0,0,3,1,6,0,0,7,1,2,0,0,3,14.200,12.000,12.000,0.000,
2019,20841,"Wiregrass Electric Coop, Inc",,AL,AEC,283,0,0,0,283,0.3,0.0,0.0,0.0,0.3,"4,246",0,0,0,"4,246",0.3,0.0,0.0,0.0,0.3,87,0,0,0,87,0,0,0,0,0,134,0,0,0,134,0,0,0,0,0,10.000,0.000,0.000,0.000,
2019,20858,WPPI Energy,,WI,MISO,"1,597","1,704",432,0,"3,733",0.2,0.2,0.1,0.0,0.5,"11,179","20,448","5,184",0,"36,811",0.2,0.2,0.1,0.0,0.5,727,524,223,0,"1,474",720,"1,142",751,0,"2,613",727,524,223,0,"1,474",720,"1,142",751,0,"2,613",7.000,12.000,12.000,0.000,
