Utility Characteristics,,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2019,16267,Rolling Hills Electric Coop,,KS,SWPP,0,0,304,0,304,0,0,160,0,160,0.0,0.0,9.2,0.0,9.2,0.0,0.0,4.0,0.0,4.0,0,0,299,0,299,0,0,31,0,31,0
2019,16284,"Roseau Electric Coop, Inc",,MN,MISO,"3,033",45,0,0,"3,078",588,"1,012",0,0,"1,600",0.1,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.1,71,66,0,0,137,0,0,0,0,0,16
2019,16295,City of Roseville - (CA),,CA,BANC,"3,592",0,0,0,"3,592",0,0,0,0,0,2.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,36,0,0,0,36,8,0,0,0,8,0
2019,16496,Rutherford Elec Member Corp,,NC,DUK,"7,525",0,0,0,"7,525",0,0,0,0,0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,160,0,0,0,160,0,0,0,0,0,0
2019,16534,Sacramento Municipal Util Dist,,CA,BANC,"85,056",25,1,0,"85,082",0,172,87,0,259,59.8,8.8,6.5,0.0,75.1,0.0,8.2,6.5,0.0,14.7,0,239,227,0,466,228,709,0,0,937,0
2019,16572,Salt River Project,,AZ,SRP,"21,935",0,3,0,"21,938",101,0,12,0,113,37.7,0.0,78.0,0.0,115.7,34.2,0.0,25.5,0.0,59.7,723,0,0,0,723,559,0,0,0,559,0
2019,16604,City of San Antonio - (TX),,TX,ERCO,"484,831",745,0,0,"485,576","22,121","3,233",0,0,"25,354",116.0,89.0,0.0,0.0,205.0,116.0,89.0,0.0,0.0,205.0,"7,483","5,831",0,0,"13,314",256,571,0,0,827,0
2019,16606,"Santee Electric Coop, Inc",,SC,SC,46,0,0,0,46,125,0,0,0,125,1.6,0.0,0.0,0.0,1.6,1.6,0.0,0.0,0.0,1.6,10,0,0,0,10,8,0,0,0,8,48
2019,16609,San Diego Gas & Electric Co,,CA,CISO,"765,327","128,398","1,408",0,"895,133",205,64,66,0,336,30.4,7.7,5.8,0.0,43.9,0.0,0.0,0.0,0.0,0.0,943,"1,454",434,0,"2,831","2,450","5,018","1,312",0,"8,780",0
2019,16627,San Patricio Electric Coop Inc,,TX,ERCO,0,0,19,0,19,0,0,0,0,0,0.0,0.0,25.0,0.0,25.0,0.0,0.0,3.3,0.0,3.3,0,0,491,0,491,0,0,0,0,0,0
