Utility Characteristics,,,,,,Also operating in other NERC Regions,,,,,,,,Operating in these RTOs,,,,,,,,Other Activities,,,,,,,,,
Data Year,Utility Number,Utility Name,State,Ownership Type,NERC Region,TRE,FRCC,MRO,NPCC,RFC,SERC,SPP,WECC,CAISO,ERCOT,PJM,NYISO,SPP,MISO,ISONE,Other,Generation,Transmission,Buying Transmission,Distribution,Buying Distribution,Wholesale Marketing,Retail Marketing,Bundled,Alt Fuel Vehicle,Alt Fuel Vehicle 2
2017,1300,City of Bartow - (FL),FL,Municipal,FRCC,N,Y,,,,,,,,,,,,,,,,,,Y,,,,,,
2017,1301,"Barton County Elec Coop, Inc",MO,Cooperative,SERC,,,,,,,,,,,,,,,,Y,,,,Y,,,,,,
2017,1307,Basin Electric Power Coop,ND,Cooperative,SPP,,,Y,,,,Y,Y,,,,,Y,Y,,,Y,Y,Y,Y,,Y,,Y,Y,Y
2017,1325,City of Batavia - (IL),IL,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,,N,,Y,,,,,,
2017,1366,City of Bay City - (MI),MI,Municipal,RFC,,,,,Y,,,,,,N,,,Y,,,Y,,Y,Y,,N,,,,
2017,1367,"Bayfield Electric Coop, Inc",WI,Cooperative,MRO,,,Y,,,,,,,,,,,Y,,,,,,Y,,,,,,
2017,1417,"Beartooth Electric Coop, Inc",MT,Cooperative,WECC,,,,,,,,Y,,,,,,,,,,,,Y,,,,,,
2017,1427,City of Beatrice - (NE),NE,Municipal,SPP,,,N,,,,Y,,,,,,Y,,,,,,,Y,,,,,,
2017,1456,Town of Bedford - (VA),VA,Municipal,RFC,,,,,Y,,,,,,Y,,,,,,Y,,Y,Y,,,,,,
2017,1458,"Beauregard Electric Coop, Inc",LA,Cooperative,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,N,,N,
2017,1523,Town of Belmont - (MA),MA,Municipal,NPCC,,,,Y,,,,,,,,,,,Y,,,,Y,Y,,,,,Y,Y
2017,1525,City of Beloit - (KS),KS,Municipal,SPP,,,,,,,Y,,,,,,,,,,Y,,,Y,,,,,,
2017,1529,"Beltrami Electric Coop, Inc",MN,Cooperative,MRO,,,Y,,,,,,,,,,,,,,,,,Y,,,,,,Y
2017,1566,City of Bennettsville - (SC),SC,Municipal,SERC,,,,,,,,,,,,,,,,,,,,Y,,,,,,
2017,1572,Badger Power Marketing Authority,WI,Wholesale Power Marketer,RFC,,,Y,,N,,,,,,,,,Y,,,,,,Y,,,,,,
2017,1573,City of Benson - (MN),MN,Municipal,MRO,,,Y,,,,,,,,,,,Y,,,Y,Y,,Y,,,,,,
2017,1578,Benton County,TN,Municipal,SERC,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,
2017,1579,PUD No 1 of Benton County,WA,Political Subdivision,WECC,,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y
