Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2017,4911,Dawson Power District,NE,SWPP,0,0,4462,0,4462,0,0,0,0,0,0,0,87.2,0,87.2,0,0,73.8,0,73.8,0,0,0,0,0,0,0,152,0,152,.
2017,4960,Decatur County Rural E M C,IN,MISO,46,.,.,.,46,0,.,.,.,0,0,.,.,.,0,0,.,.,.,0,1,.,.,.,1,0,.,.,.,0,.
2017,5027,Delmarva Power,DE,PJM,247818,23059,0,0,270877,1112,101,0,0,1213,104.5,9.5,0,0,114,104.5,9.5,0,0,114,966,88,0,0,1054,1664,0,0,0,1664,.
2017,5027,Delmarva Power,MD,PJM,143039,1845,0,0,144884,3914,222,0,0,4136,61,4.6,0,0,65.6,61,4.6,0,0,65.6,3301,207,0,0,3508,2639,267,0,0,2906,.
2017,5056,City of Denison - (IA),IA,SWPP,2450,160,19,.,2629,26,3,0,.,30,1.5,0.3,0,.,1.8,1.5,0.3,0,.,1.8,80,6,20,.,106,.,.,.,.,.,.
2017,5070,Delaware Electric Cooperative,DE,PJM,14022,1144,.,.,15166,0,0,.,.,0,13.3,51.5,.,.,64.7,12.3,24.8,.,.,37.2,427,.,.,.,427,29,.,.,.,29,.
2017,5078,"Denton County Elec Coop, Inc",TX,ERCO,8507,.,.,.,8507,67,.,.,.,67,18.9,.,.,.,18.9,16.9,.,.,.,16.9,650,.,.,.,650,337,.,.,.,337,.
2017,5109,DTE Electric Company,MI,MISO,329488,2025,274,0,331787,240,0,0,0,240,104,101,363,0,568,60,0,0,0,60,0,0,0,0,0,5000,0,0,0,5000,.
2017,5111,City of Detroit Lakes - (MN),MN,MISO,1819,107,12,.,1938,336,37,0,.,373,2.1,0.2,0,.,2.3,1.9,0.2,0,.,2.1,226,88,5,.,319,226,12,2,.,240,.
2017,5335,City of Dover - (DE),DE,PJM,.,2,2,.,4,.,.,.,.,.,.,2.3,2.9,.,5.2,.,2.3,2.4,.,4.7,.,68,80,.,148,.,.,.,.,.,.
2017,5336,City of Dover - (OH),OH,PJM,.,.,7,.,7,.,.,3,.,3,.,.,2.5,.,2.5,.,.,2.5,.,2.5,.,.,23,.,23,.,.,.,.,.,.
2017,5416,"Duke Energy Carolinas, LLC",NC,DUK,157967,1595,105,.,159667,.,.,.,.,.,353,74.6,276.4,.,704,.,3,.,.,3,5051,7492,.,.,12543,5188,2232,.,.,7421,.
2017,5416,"Duke Energy Carolinas, LLC",SC,DUK,52956,246,38,.,53240,.,.,.,.,.,120.5,19.7,124.9,.,265.1,.,0.5,.,.,0.5,1695,5549,.,.,7244,2092,.,.,.,2092,.
2017,5417,Dunn County Electric Coop,WI,MISO,3219,330,.,.,3549,.,.,.,.,.,1.7,15,.,.,16.7,0.5,4.3,.,.,4.8,113,12,.,.,125,88,9,.,.,97,0
