Data Year,Utility Number,Utility Name,State,Distribution Circuits,Circuits with Voltage Optimization
2022,8699,Inland Power & Light Company,WA,99,0
2022,8723,City of Holland,MI,72,0
2022,8748,City of Holly Springs,MS,20,0
2022,8761,Holmes-Wayne Electric Coop Inc,OH,50,33
2022,8764,"Holston Electric Coop, Inc",TN,36,0
2022,8773,"Holy Cross Electric Assn, Inc",CO,56,0
2022,8774,City of Holyoke - (MA),MA,48,0
2022,8786,Horry Electric Coop Inc,SC,128,0
2022,8795,City of Homestead - (FL),FL,19,.
2022,8840,City of Hope,AR,20,0
2022,8846,City of Hopkinsville,KY,20,0
2022,8883,Houlton Water Company,ME,1,0
2022,8884,Terrebonne Parish Consol Gov't,LA,26,4
2022,8898,Houston County Elec Coop Inc,TX,45,45
2022,8901,CenterPoint Energy,TX,"1,817",.
2022,8934,"Howell-Oregon Elec Coop, Inc",MO,79,66
2022,8973,Town of Hudson - (MA),MA,12,10
2022,9023,City of Humboldt,TN,16,0
2022,9087,Town of Huntersville - (NC),NC,12,0
2022,9094,City of Huntsville - (AL),AL,282,0
2022,9096,City of Lafayette - (LA),LA,91,.
2022,9124,Hustisford Utilities,WI,3,0
2022,9130,Hutchinson Utilities Comm,MN,13,13
2022,9187,City of Idaho Falls - (ID),ID,42,0
2022,9191,Idaho Power Co,ID,615,389
2022,9191,Idaho Power Co,OR,67,20
2022,9216,Imperial Irrigation District,CA,321,0
2022,9230,City of Independence - (IA),IA,8,8
2022,9231,City of Independence - (MO),MO,67,34
2022,9246,"Indian Electric Coop, Inc",OK,64,.
2022,9273,Indianapolis Power & Light Co,IN,456,369
2022,9292,Inter County Energy Coop Corp,KY,46,.
2022,9324,Indiana Michigan Power Co,IN,667,66
2022,9324,Indiana Michigan Power Co,MI,150,9
2022,9331,Intercounty Electric Coop Assn,MO,102,0
2022,9336,CORE Electric Cooperative,CO,277,0
2022,9417,Interstate Power and Light Co,IA,"1,454",0
2022,9425,Iowa Lakes Electric Coop,IA,158,7
2022,9431,Irwin Electric Membership Corp,GA,37,0
2022,9475,Itasca-Mantrap Co-op Electrical Assn,MN,43,0
2022,9575,Jackson Energy Coop Corp - (KY),KY,112,0
2022,9576,Jackson County Rural E M C - (IN),IN,36,0
2022,9590,"Jackson Electric Coop, Inc - (TX)",TX,36,.
2022,9601,Jackson Electric Member Corp - (GA),GA,240,0
2022,9605,Jackson Purchase Energy Corporation,KY,91,0
2022,9612,City of Jackson - (TN),TN,124,77
2022,9613,City of Lebanon - (IN),IN,16,9
2022,9616,Beaches Energy Services,FL,30,30
2022,9617,JEA,FL,378,378
2022,9645,Jamestown Board of Public Util,NY,51,51
2022,9665,Jasper County Rural E M C,IN,36,36
2022,9667,City of Jasper - (IN),IN,16,16
2022,9668,"Jasper-Newton Elec Coop, Inc",TX,63,0
2022,9682,"Jefferson Davis Elec Coop, Inc",LA,46,46
2022,9689,Jefferson Electric Member Corp,GA,58,0
2022,9690,Jefferson Utilities,WI,4,0
2022,9697,City of Jellico,KY,3,0
2022,9697,City of Jellico,TN,4,0
2022,9699,"Jemez Mountains Elec Coop, Inc",NM,56,.
2022,9726,Jersey Central Power & Lt Co,NJ,"1,370","1,370"
2022,9739,Joe Wheeler Elec Member Corp,AL,90,71
