|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA Code|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|w_heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2022,15433,Town of Prosperity - (SC),Municipal,SC,DUK,"1,505.0","11,707",690,.,N,N,N
2022,16921,City of Seneca - (SC),Municipal,SC,DUK,"16,960.5","131,595","7,860",.,N,N,N
2022,19431,City of Union - (SC),Municipal,SC,DUK,"17,328.0","125,488","7,000",.,Y,N,N
2022,20490,City of Westminster - (SC),Municipal,SC,DUK,"3,887.0","24,094","1,515",.,Y,Y,N
2022,20826,Town of Winnsboro - (SC),Municipal,SC,SCEG,"7,445.0","61,084","3,210",.,N,N,N
2022,21526,City of Laurens - (SC),Municipal,SC,DUK,"12,907.0","108,719","5,487",.,Y,Y,Y
2022,831,City of Arlington - (SD),Municipal,SD,SWPP,"1,253.4","10,790",589,.,N,Y,N
2022,1004,City of Aurora - (SD),Municipal,SD,SWPP,616.5,"6,591",518,.,N,N,N
2022,1080,City of Badger - (SD),Municipal,SD,MISO,190.5,"1,637",83,.,N,Y,N
2022,1601,City of Beresford,Municipal,SD,SWPP,"4,194.0","48,512","1,243",.,N,N,N
2022,1698,City of Big Stone City - (SD),Municipal,SD,MISO,"1,475.0","11,943",405,.,N,N,N
2022,1898,"Bon Homme Yankton El Assn, Inc",Cooperative,SD,SWPP,"11,324.4","101,804","4,020",.,N,N,N
2022,2448,City of Bryant - (SD),Municipal,SD,SWPP,545.4,"3,354",261,.,N,N,N
2022,2534,City of Burke - (SD),Municipal,SD,SWPP,668.0,"7,281",470,.,N,N,N
2022,2655,"Butte Electric Coop, Inc",Cooperative,SD,WACM,"15,909.9","117,947","6,765",.,N,Y,Y
2022,2986,"Cam Wal Electric Coop, Inc",Cooperative,SD,SWPP,"7,390.0","61,502","2,545",.,N,N,N
2022,3315,"Charles Mix Electric Assn, Inc",Cooperative,SD,SWPP,"8,707.0","69,482","2,627",.,N,N,N
2022,3435,"Cherry-Todd Electric Coop, Inc",Cooperative,SD,SWPP,"11,201.7","115,014","5,004",.,N,N,N
2022,3633,City of McLaughlin - (SD),Municipal,SD,SWPP,652.0,"6,431",350,.,Y,N,N
2022,3716,Clay-Union Electric Corp,Cooperative,SD,SWPP,"8,952.0","84,736","3,850",.,N,N,N
2022,3735,City of Colman - (SD),Municipal,SD,SWPP,"1,161.7","10,032",366,.,N,Y,N
2022,3850,"Codington-Clark Elec Coop, Inc",Cooperative,SD,SWPP,"13,865.0","145,786","3,407",.,N,N,N
2022,5328,"Douglas Electric Coop, Inc",Cooperative,SD,SWPP,"3,100.5","25,439",825,.,N,N,N
2022,5771,City of Elk Point,Municipal,SD,SWPP,"2,023.0","18,508","1,029",.,N,N,N
2022,5995,City of Estelline - (SD),Municipal,SD,SWPP,644.4,"6,877",411,.,N,Y,N
2022,6157,City of Faith - (SD),Municipal,SD,SWPP,583.0,"5,175",264,.,N,N,N
2022,6272,"FEM Electric Assn, Inc",Cooperative,SD,SWPP,"15,911.0","166,187","2,124",.,N,N,N
2022,6390,City of Flandreau,Municipal,SD,MISO,"3,719.1","35,643","1,447",.,N,N,N
2022,6615,City of Fort Pierre - (SD),Municipal,SD,SWPP,"2,601.0","26,353","1,398",.,N,N,N
2022,7484,"Grand Electric Coop, Inc",Cooperative,SD,SWPP,"12,467.7","83,036","5,101",.,N,N,N
2022,7712,City of Groton - (SD),Municipal,SD,SWPP,"1,612.8","17,512",752,.,N,Y,N
2022,7870,H-D Electric Coop Inc,Cooperative,SD,SWPP,"12,734.0","122,092","3,743",.,N,N,N
2022,8379,City of Hecla,Municipal,SD,SWPP,405.8,"3,293",291,.,N,Y,N
2022,8919,City of Howard - (SD),Municipal,SD,MISO,"1,643.0","17,628",623,.,N,Y,N
2022,10329,"Kingsbury Electric Coop, Inc",Cooperative,SD,SWPP,"3,434.7","25,327",886,.,N,N,N
2022,10558,"LaCreek Electric Assn, Inc",Cooperative,SD,WACM,"14,289.8","130,767","6,660",.,Y,Y,N
2022,10632,"Lake Region Electric Assn, Inc - (SD)",Cooperative,SD,WACM,"18,587.0","202,130","3,470",.,N,N,N
2022,12580,City of Miller - (SD),Municipal,SD,SWPP,"2,074.0","21,088",937,.,N,N,N
2022,12915,Moreau-Grand Electric Coop Inc,Cooperative,SD,SWPP,"12,644.5","105,339","7,115",.,N,Y,N
2022,13685,"Niobrara Electric Assn, Inc",Cooperative,SD,WACM,22.1,135,16,.,Y,Y,Y
2022,13853,Oahe Electric Coop Inc,Cooperative,SD,SWPP,"13,441.9","147,824","3,309",.,N,N,N
2022,14138,City of Onida - (SD),Municipal,SD,SWPP,872.0,"8,014",447,.,N,N,N
2022,14489,City of Parker - (SD),Municipal,SD,SWPP,"1,285.3","11,127",623,.,N,Y,N
2022,15134,City of Plankinton - (SD),Municipal,SD,SWPP,900.8,"10,356",475,.,N,N,N
2022,17265,City of Sioux Falls - (SD),Municipal,SD,MISO,"9,502.0","94,191","2,931",.,N,N,N
2022,17593,"Southeast Electric Coop, Inc",Cooperative,SD,SWPP,26.0,194,23,.,N,N,N
2022,19060,"Traverse Electric Coop, Inc",Cooperative,SD,SWPP,"4,059.0","42,773","1,068",.,Y,Y,N
2022,19333,City of Tyndall - (SD),Municipal,SD,SWPP,"1,537.5","14,139",629,.,N,N,N
2022,19493,Union County Electric Coop Inc,Cooperative,SD,SWPP,"4,355.0","35,588","1,663",.,Y,Y,N
2022,19788,City of Vermillion - (SD),Municipal,SD,SWPP,"8,238.9","72,168","4,965",.,Y,Y,N
2022,20359,City of Wessington Springs,Municipal,SD,SWPP,"1,310.9","10,786",615,.,N,N,N
2022,20368,West Central Electric Coop Inc - (SD),Cooperative,SD,SWPP,"17,332.0","136,600","6,783",.,N,N,N
2022,20422,Whetstone Valley Elec Coop Inc,Cooperative,SD,SWPP,"10,576.0","98,199","3,594",.,N,N,Y
2022,20823,Winner Municipal Utility,Municipal,SD,SWPP,"3,963.7","39,019","1,991",.,N,N,N
2022,26120,Town of Langford- (SD),Municipal,SD,SWPP,402.1,"2,851",193,.,N,Y,N
2022,40435,City of White - (SD),Municipal,SD,SWPP,500.3,"3,838",310,.,N,N,N
2022,40604,Heartland Consumers Power Dist,Political Subdivision,SD,SWPP,925.5,"10,516",3,.,Y,N,N
2022,58139,Town of Pickstown - (SD),Municipal,SD,SWPP,298.2,"2,887",168,.,N,N,N
2022,1287,City of Bartlett - (TX),Municipal,TX,ERCO,"1,488.0","15,002",636,.,N,N,N
2022,1324,City of Bastrop - (TX),Municipal,TX,ERCO,"8,074.0","78,976","2,929",.,N,N,N
2022,1519,City of Bellville - (TX),Municipal,TX,ERCO,"5,929.5","60,026","2,595",.,Y,N,N
2022,1913,City of Boerne,Municipal,TX,ERCO,"17,611.0","156,644","6,381",.,N,N,N
2022,2050,City of Bowie - (TX),Municipal,TX,ERCO,"7,978.0","69,438","3,103",.,N,N,N
2022,2135,City of Brady - (TX),Municipal,TX,ERCO,"8,033.0","58,754","3,042",.,Y,N,N
2022,2210,City of Bridgeport - (TX),Municipal,TX,ERCO,"6,152.9","55,340","2,318",.,N,N,N
2022,2404,City of Brownfield - (TX),Municipal,TX,SWPP,"8,545.8","65,922","4,161",.,Y,N,N
2022,2559,City of Burnet - (TX),Municipal,TX,ERCO,"10,072.5","90,933","3,261",.,N,N,N
2022,2800,City of Caldwell,Municipal,TX,MISO,"6,674.0","62,151","2,206",.,N,N,N
2022,3168,City of Castroville - (TX),Municipal,TX,ERCO,"3,673.1","30,368","1,581",.,Y,N,N
2022,3923,City of Coleman - (TX),Municipal,TX,ERCO,"4,654.0","39,071","2,423",.,N,N,N
2022,3938,"Coleman County Elec Coop, Inc",Cooperative,TX,ERCO,"18,439.9","155,569","8,958",.,N,N,N
2022,4610,City of Cuero - (TX),Municipal,TX,ERCO,"10,475.0","94,600","3,769",.,N,N,N
2022,5744,City of Electra - (TX),Municipal,TX,SWPP,"3,165.0","20,510","1,230",.,N,N,N
2022,6173,Fannin County Electric Coop,Cooperative,TX,ERCO,"30,951.0","190,178","11,606",.,Y,N,N
2022,6203,City of Farmersville - (TX),Municipal,TX,ERCO,"4,571.8","30,360","1,618",.,N,N,N
2022,6396,City of Flatonia - (TX),Municipal,TX,ERCO,"4,199.7","28,766","1,127",.,Y,N,N
2022,6472,City of Floydada - (TX),Municipal,TX,SWPP,"2,149.2","16,938","1,255",.,N,N,N
2022,6611,Fort Belknap Electric Coop Inc,Cooperative,TX,ERCO,"16,980.0","119,690","6,171",.,N,N,N
2022,6758,City of Fredericksburg - (TX),Municipal,TX,ERCO,"13,096.0","141,892","5,854",.,Y,N,N
2022,7184,City of Giddings - (TX),Municipal,TX,ERCO,"5,806.0","55,224","2,790",.,N,N,N
2022,7368,City of Goldthwaite - (TX),Municipal,TX,ERCO,"3,039.0","20,536","1,326",.,N,N,N
2022,7370,City of Gonzales - (TX),Municipal,TX,ERCO,"9,870.2","94,302","2,996",.,N,N,N
2022,7419,City of Goldsmith - (TX),Municipal,TX,ERCO,574.0,"5,379",229,.,N,N,N
2022,7480,City of Granbury - (TX),Municipal,TX,ERCO,"11,763.0","96,655","3,571",.,N,N,N
2022,7958,City of Hallettsville - (TX),Municipal,TX,ERCO,"4,313.4","38,127","1,655",.,Y,N,N
2022,8183,Harmon Electric Assn Inc,Cooperative,TX,SWPP,"1,093.0","5,621",466,.,N,N,N
2022,8359,City of Hearne - (TX),Municipal,TX,ERCO,"5,748.6","48,095","2,685",.,N,N,N
2022,8432,City of Hemphill - (TX),Municipal,TX,MISO,"2,621.9","18,839",791,.,N,N,N
2022,8435,City of Hempstead - (TX),Municipal,TX,ERCO,"5,671.6","49,489","2,522",.,N,N,N
2022,8801,City of Hondo - (TX),Municipal,TX,ERCO,"9,619.6","85,812","3,060",.,N,N,N
2022,9422,J-A-C Electric Coop Inc,Cooperative,TX,ERCO,"14,876.4","94,151","5,967",.,N,N,N
2022,9664,City of Jasper - (TX),Municipal,TX,MISO,"10,457.0","95,417","4,487",.,N,N,N
2022,10359,Kirbyville Light & Power Co,Municipal,TX,MISO,"2,297.8","15,361","1,083",.,N,N,N
2022,10532,City of La Grange - (TX),Municipal,TX,ERCO,"5,993.0","65,720","3,153",.,N,N,N
2022,10656,City of Lampasas - (TX),Municipal,TX,ERCO,"11,958.0","95,704","4,655",.,N,N,N
2022,10969,City of Lexington - (TX),Municipal,TX,ERCO,"1,334.0","13,051",709,.,N,N,N
2022,10982,City of Liberty - (TX),Municipal,TX,MISO,"12,644.8","110,825","3,647",.,Y,N,N
2022,11097,City of Livingston - (TX),Municipal,TX,MISO,"10,155.0","76,655","3,474",.,N,N,N
2022,11103,City of Llano - (TX),Municipal,TX,ERCO,"4,912.7","46,236","2,027",.,N,N,N
2022,11119,City of Lockhart - (TX),Municipal,TX,ERCO,"11,960.3","111,941","5,721",.,Y,N,N
2022,11316,City of Luling - (TX),Municipal,TX,ERCO,"6,955.8","57,380","2,860",.,N,N,N
2022,11793,City of Mason - (TX),Municipal,TX,ERCO,"3,396.0","28,396","1,590",.,N,N,N
2022,13025,City of Moulton - (TX),Municipal,TX,ERCO,"1,282.7","11,988",667,.,N,N,N
